"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,4,32,0.004
5,24,8221,1.027625
6,106,33082,4.13525
7,348,187994,23.49925
8,837,269645,33.705625
9,1773,337575,42.196875
10,3237,389035,48.629375
11,5166,431997,53.999625
12,7826,481493,60.186625
13,10068,503371,62.921375
14,13759,539914,67.48925
15,15481,550154,68.76925
16,21197,600809,75.101125
17,22095,609063,76.132875
18,28392,768051,96.006375
19,28541,768501,96.062625
20,31434,797734,99.71675
