"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",179719,2.2464875
2,"Fearful",1933,0.0241625
3,"Stubborn",722,0.009025
4,"Early Adopter",249,0.0031125
5,"Homo Economicus",53,0.0006625
6,"Uninterested",32,4e-04
7,"Influencer",2,2.5e-05
