comparison_region,subsample,dataset_source,det_col,n_rows,n_missing,prop_missing,n_out_of_range
EUROPE,DIEGO,diego,det_01_profits,1899,0,0,0
EUROPE,DIEGO,diego,det_02_credit_score,1899,0,0,0
EUROPE,DIEGO,diego,det_03_risk_profile,1899,0,0,0
EUROPE,DIEGO,diego,det_04_added_value,1899,0,0,0
EUROPE,DIEGO,diego,det_05_frugality,1899,0,0,0
EUROPE,DIEGO,diego,det_06_climate_protection,1899,0,0,0
EUROPE,DIEGO,diego,det_07_legal,1899,0,0,0
EUROPE,DIEGO,diego,det_08_trust,1899,0,0,0
EUROPE,DIEGO,diego,det_09_safety,1899,0,0,0
EUROPE,DIEGO,diego,det_10_cost_efficiency,1899,0,0,0
EUROPE,DIEGO,diego,det_11_knowledge,1899,0,0,0
EUROPE,DIEGO,diego,det_12_own_competence,1899,0,0,0
EUROPE,DIEGO,diego,det_13_technical_fit,1899,0,0,0
EUROPE,DIEGO,diego,det_14_environmental_concerns,1899,0,0,0
EUROPE,DIEGO,diego,det_15_self_satisfaction,1899,0,0,0
EUROPE,DIEGO,diego,det_16_commitment,1899,0,0,0
EUROPE,DIEGO,diego,det_17_adherence,1899,0,0,0
EUROPE,DIEGO,diego,det_18_autonomy,1899,0,0,0
EUROPE,DIEGO,diego,det_19_wellbeing,1899,0,0,0
EUROPE,DIEGO,diego,det_20_coziness,1899,0,0,0
EUROPE,DIEGO,diego,det_21_rights_and_duties,1899,0,0,0
EUROPE,DIEGO,diego,det_22_peer_pressure,1899,0,0,0
EUROPE,DIEGO,diego,det_23_support,1899,0,0,0
EUROPE,DIEGO,diego,det_24_socialising,1899,0,0,0
EUROPE,DIEGO,diego,det_25_agreement,1899,0,0,0
EUROPE,DIEGO,diego,det_26_novelty,1899,0,0,0
EUROPE,DIEGO,diego,det_27_fun,1899,0,0,0
EUROPE,DIEGO,diego,det_28_recognition,1899,0,0,0
EUROPE,DIEGO,diego,det_29_trends,1899,0,0,0
EUROPE,DIEGO,diego,det_30_authority,1899,0,0,0
EUROPE,DIEGO,diego,det_31_approval,1899,0,0,0
EUROPE,DIEGO,diego,det_32_own_significance,1899,0,0,0
EUROPE,RENOVISOR,rv,det_01_profits,1229,323,0.2628152969894223,0
EUROPE,RENOVISOR,rv,det_02_credit_score,1229,337,0.274206672091131,0
EUROPE,RENOVISOR,rv,det_03_risk_profile,1229,334,0.27176566314076483,0
EUROPE,RENOVISOR,rv,det_04_added_value,1229,342,0.27827502034174123,0
EUROPE,RENOVISOR,rv,det_05_frugality,1229,340,0.2766476810414972,0
EUROPE,RENOVISOR,rv,det_06_climate_protection,1229,297,0.24165988608624897,0
EUROPE,RENOVISOR,rv,det_07_legal,1229,328,0.26688364524003255,0
EUROPE,RENOVISOR,rv,det_08_trust,1229,314,0.2554922701383238,0
EUROPE,RENOVISOR,rv,det_09_safety,1229,327,0.2660699755899105,0
EUROPE,RENOVISOR,rv,det_10_cost_efficiency,1229,312,0.25386493083807976,0
EUROPE,RENOVISOR,rv,det_11_knowledge,1229,298,0.24247355573637103,0
EUROPE,RENOVISOR,rv,det_12_own_competence,1229,348,0.28315703824247357,0
EUROPE,RENOVISOR,rv,det_13_technical_fit,1229,309,0.25142392188771356,0
EUROPE,RENOVISOR,rv,det_14_environmental_concerns,1229,300,0.24410089503661514,0
EUROPE,RENOVISOR,rv,det_15_self_satisfaction,1229,309,0.25142392188771356,0
EUROPE,RENOVISOR,rv,det_16_commitment,1229,317,0.25793327908869,0
EUROPE,RENOVISOR,rv,det_17_adherence,1229,330,0.26851098454027666,0
