comparison_region,subsample,dataset_source,det_col,n_rows,n_imputed_50,prop_rows_imputed_50
EUROPE,RENOVISOR,rv,det_13_technical_fit,1229,15,0.012205044751830757
EUROPE,RENOVISOR,rv,det_14_environmental_concerns,1229,17,0.013832384052074858
EUROPE,RENOVISOR,rv,det_15_self_satisfaction,1229,13,0.010577705451586655
EUROPE,RENOVISOR,rv,det_16_commitment,1229,24,0.01952807160292921
EUROPE,RENOVISOR,rv,det_17_adherence,1229,28,0.022782750203417412
EUROPE,RENOVISOR,rv,det_18_autonomy,1229,30,0.024410089503661515
EUROPE,RENOVISOR,rv,det_19_wellbeing,1229,13,0.010577705451586655
EUROPE,RENOVISOR,rv,det_20_coziness,1229,27,0.021969080553295363
EUROPE,RENOVISOR,rv,det_21_rights_and_duties,1229,25,0.02034174125305126
EUROPE,RENOVISOR,rv,det_22_peer_pressure,1229,19,0.015459723352318959
EUROPE,RENOVISOR,rv,det_23_support,1229,42,0.03417412530512612
EUROPE,RENOVISOR,rv,det_24_socialising,1229,33,0.026851098454027666
EUROPE,RENOVISOR,rv,det_25_agreement,1229,28,0.022782750203417412
EUROPE,RENOVISOR,rv,det_26_novelty,1229,38,0.030919446704637917
EUROPE,RENOVISOR,rv,det_27_fun,1229,42,0.03417412530512612
EUROPE,RENOVISOR,rv,det_28_recognition,1229,16,0.013018714401952807
EUROPE,RENOVISOR,rv,det_29_trends,1229,25,0.02034174125305126
EUROPE,RENOVISOR,rv,det_30_authority,1229,42,0.03417412530512612
EUROPE,RENOVISOR,rv,det_31_approval,1229,17,0.013832384052074858
EUROPE,RENOVISOR,rv,det_32_own_significance,1229,27,0.021969080553295363
EUROPE,WHY_EUROPE,why,det_01_profits,990,7,0.007070707070707071
EUROPE,WHY_EUROPE,why,det_02_credit_score,990,10,0.010101010101010102
EUROPE,WHY_EUROPE,why,det_03_risk_profile,990,11,0.011111111111111112
EUROPE,WHY_EUROPE,why,det_04_added_value,990,14,0.014141414141414142
EUROPE,WHY_EUROPE,why,det_05_frugality,990,7,0.007070707070707071
EUROPE,WHY_EUROPE,why,det_06_climate_protection,990,10,0.010101010101010102
EUROPE,WHY_EUROPE,why,det_07_legal,990,7,0.007070707070707071
EUROPE,WHY_EUROPE,why,det_08_trust,990,12,0.012121212121212121
EUROPE,WHY_EUROPE,why,det_09_safety,990,7,0.007070707070707071
EUROPE,WHY_EUROPE,why,det_10_cost_efficiency,990,6,0.006060606060606061
EUROPE,WHY_EUROPE,why,det_11_knowledge,990,2,0.00202020202020202
EUROPE,WHY_EUROPE,why,det_12_own_competence,990,13,0.013131313131313131
EUROPE,WHY_EUROPE,why,det_13_technical_fit,990,5,0.005050505050505051
EUROPE,WHY_EUROPE,why,det_14_environmental_concerns,990,6,0.006060606060606061
EUROPE,WHY_EUROPE,why,det_15_self_satisfaction,990,2,0.00202020202020202
EUROPE,WHY_EUROPE,why,det_16_commitment,990,9,0.00909090909090909
EUROPE,WHY_EUROPE,why,det_17_adherence,990,7,0.007070707070707071
EUROPE,WHY_EUROPE,why,det_18_autonomy,990,21,0.021212121212121213
EUROPE,WHY_EUROPE,why,det_19_wellbeing,990,9,0.00909090909090909
EUROPE,WHY_EUROPE,why,det_20_coziness,990,9,0.00909090909090909
EUROPE,WHY_EUROPE,why,det_21_rights_and_duties,990,11,0.011111111111111112
EUROPE,WHY_EUROPE,why,det_22_peer_pressure,990,8,0.00808080808080808
EUROPE,WHY_EUROPE,why,det_23_support,990,7,0.007070707070707071
EUROPE,WHY_EUROPE,why,det_24_socialising,990,7,0.007070707070707071
EUROPE,WHY_EUROPE,why,det_25_agreement,990,11,0.011111111111111112
EUROPE,WHY_EUROPE,why,det_26_novelty,990,8,0.00808080808080808
EUROPE,WHY_EUROPE,why,det_27_fun,990,12,0.012121212121212121
EUROPE,WHY_EUROPE,why,det_28_recognition,990,4,0.00404040404040404
EUROPE,WHY_EUROPE,why,det_29_trends,990,4,0.00404040404040404
EUROPE,WHY_EUROPE,why,det_30_authority,990,9,0.00909090909090909
EUROPE,WHY_EUROPE,why,det_31_approval,990,4,0.00404040404040404
EUROPE,WHY_EUROPE,why,det_32_own_significance,990,10,0.010101010101010102
LATAM,WHY_LATAM,why,det_01_profits,638,8,0.012539184952978056
LATAM,WHY_LATAM,why,det_02_credit_score,638,3,0.004702194357366771
LATAM,WHY_LATAM,why,det_03_risk_profile,638,6,0.009404388714733543
LATAM,WHY_LATAM,why,det_04_added_value,638,12,0.018808777429467086
LATAM,WHY_LATAM,why,det_05_frugality,638,14,0.0219435736677116
LATAM,WHY_LATAM,why,det_06_climate_protection,638,14,0.0219435736677116
LATAM,WHY_LATAM,why,det_07_legal,638,10,0.01567398119122257
LATAM,WHY_LATAM,why,det_08_trust,638,13,0.02037617554858934
LATAM,WHY_LATAM,why,det_09_safety,638,9,0.014106583072100314
LATAM,WHY_LATAM,why,det_10_cost_efficiency,638,7,0.0109717868338558
LATAM,WHY_LATAM,why,det_11_knowledge,638,5,0.007836990595611285
LATAM,WHY_LATAM,why,det_12_own_competence,638,6,0.009404388714733543
LATAM,WHY_LATAM,why,det_13_technical_fit,638,8,0.012539184952978056
LATAM,WHY_LATAM,why,det_14_environmental_concerns,638,10,0.01567398119122257
LATAM,WHY_LATAM,why,det_15_self_satisfaction,638,4,0.006269592476489028
LATAM,WHY_LATAM,why,det_16_commitment,638,9,0.014106583072100314
LATAM,WHY_LATAM,why,det_17_adherence,638,2,0.003134796238244514
LATAM,WHY_LATAM,why,det_18_autonomy,638,12,0.018808777429467086
LATAM,WHY_LATAM,why,det_19_wellbeing,638,11,0.017241379310344827
LATAM,WHY_LATAM,why,det_20_coziness,638,12,0.018808777429467086
LATAM,WHY_LATAM,why,det_21_rights_and_duties,638,7,0.0109717868338558
LATAM,WHY_LATAM,why,det_22_peer_pressure,638,9,0.014106583072100314
LATAM,WHY_LATAM,why,det_23_support,638,9,0.014106583072100314
LATAM,WHY_LATAM,why,det_24_socialising,638,7,0.0109717868338558
LATAM,WHY_LATAM,why,det_25_agreement,638,7,0.0109717868338558
LATAM,WHY_LATAM,why,det_26_novelty,638,9,0.014106583072100314
LATAM,WHY_LATAM,why,det_27_fun,638,7,0.0109717868338558
LATAM,WHY_LATAM,why,det_28_recognition,638,5,0.007836990595611285
LATAM,WHY_LATAM,why,det_29_trends,638,7,0.0109717868338558
LATAM,WHY_LATAM,why,det_30_authority,638,11,0.017241379310344827
LATAM,WHY_LATAM,why,det_31_approval,638,11,0.017241379310344827
LATAM,WHY_LATAM,why,det_32_own_significance,638,8,0.012539184952978056
