comparison_region,subsample,dataset_source,component,quality,n,prop
EUROPE,DIEGO,diego,quality_attention_quality,not_available_for_source,1899,1
EUROPE,DIEGO,diego,quality_concerns_barriers,not_available_for_source,1899,1
EUROPE,DIEGO,diego,quality_determinants_32,usable_complete,1899,1
EUROPE,DIEGO,diego,quality_energy_crisis,not_available_for_source,1899,1
EUROPE,DIEGO,diego,quality_poverty,not_available_for_source,1899,1
EUROPE,DIEGO,diego,quality_propensity_score_model,missing_binary_vote_outcome,1899,1
EUROPE,DIEGO,diego,quality_propensity_score_predictors,minimal_predictors_available,1874,0.9868351764086362
EUROPE,DIEGO,diego,quality_propensity_score_predictors,partial_predictors,25,0.013164823591363875
EUROPE,DIEGO,diego,quality_sociodemographics,core_complete,1857,0.9778830963665087
EUROPE,DIEGO,diego,quality_sociodemographics,core_partial,42,0.022116903633491312
EUROPE,DIEGO,diego,quality_tariffs_costs_payback,not_available_for_source,1899,1
EUROPE,DIEGO,diego,quality_technology_adoption,not_available_for_source,1899,1
EUROPE,DIEGO,diego,quality_trust_information,component_partial,1899,1
EUROPE,DIEGO,diego,quality_vote_politics,missing_or_not_collected,1899,1
EUROPE,RENOVISOR,rv,quality_attention_quality,component_partial,1205,0.9804719283970708
EUROPE,RENOVISOR,rv,quality_attention_quality,missing_component,17,0.013832384052074858
EUROPE,RENOVISOR,rv,quality_attention_quality,component_complete,7,0.005695687550854353
EUROPE,RENOVISOR,rv,quality_concerns_barriers,component_partial,1226,0.9975589910496339
EUROPE,RENOVISOR,rv,quality_concerns_barriers,missing_component,3,0.0024410089503661514
EUROPE,RENOVISOR,rv,quality_determinants_32,usable_complete,900,0.7323026851098454
EUROPE,RENOVISOR,rv,quality_determinants_32,no_determinants,274,0.2229454841334418
EUROPE,RENOVISOR,rv,quality_determinants_32,too_many_missing,54,0.043938161106590726
EUROPE,RENOVISOR,rv,quality_determinants_32,low_variability,1,8.136696501220504e-4
EUROPE,RENOVISOR,rv,quality_energy_crisis,component_partial,1176,0.9568755085435313
EUROPE,RENOVISOR,rv,quality_energy_crisis,missing_component,53,0.043124491456468676
EUROPE,RENOVISOR,rv,quality_poverty,missing_component,903,0.7347436940602116
EUROPE,RENOVISOR,rv,quality_poverty,component_partial,326,0.26525630593978844
EUROPE,RENOVISOR,rv,quality_propensity_score_model,missing_binary_vote_outcome,603,0.4906427990235964
EUROPE,RENOVISOR,rv,quality_propensity_score_model,model_ready_without_income,413,0.3360455655004068
EUROPE,RENOVISOR,rv,quality_propensity_score_model,outcome_available_but_predictors_partial,200,0.16273393002441008
EUROPE,RENOVISOR,rv,quality_propensity_score_model,model_ready_minimal,13,0.010577705451586655
EUROPE,RENOVISOR,rv,quality_propensity_score_predictors,complete_without_income,762,0.6200162733930025
EUROPE,RENOVISOR,rv,quality_propensity_score_predictors,partial_predictors,333,0.2709519934906428
EUROPE,RENOVISOR,rv,quality_propensity_score_predictors,missing_predictors,106,0.08624898291293735
EUROPE,RENOVISOR,rv,quality_propensity_score_predictors,minimal_predictors_available,28,0.022782750203417412
EUROPE,RENOVISOR,rv,quality_sociodemographics,core_complete,988,0.8039056143205858
EUROPE,RENOVISOR,rv,quality_sociodemographics,core_partial,126,0.10252237591537836
EUROPE,RENOVISOR,rv,quality_sociodemographics,core_missing,106,0.08624898291293735
EUROPE,RENOVISOR,rv,quality_sociodemographics,core_poor,9,0.007323026851098454
EUROPE,RENOVISOR,rv,quality_tariffs_costs_payback,component_partial,1226,0.9975589910496339
EUROPE,RENOVISOR,rv,quality_tariffs_costs_payback,missing_component,3,0.0024410089503661514
EUROPE,RENOVISOR,rv,quality_technology_adoption,component_partial,1226,0.9975589910496339
EUROPE,RENOVISOR,rv,quality_technology_adoption,missing_component,3,0.0024410089503661514
EUROPE,RENOVISOR,rv,quality_trust_information,component_partial,1229,1
EUROPE,RENOVISOR,rv,quality_vote_politics,vote_and_politics_complete,941,0.7656631407648494
EUROPE,RENOVISOR,rv,quality_vote_politics,vote_only,160,0.13018714401952808
EUROPE,RENOVISOR,rv,quality_vote_politics,missing_or_not_collected,116,0.09438567941415785
EUROPE,RENOVISOR,rv,quality_vote_politics,politics_only,12,0.009764035801464606
EUROPE,WHY_EUROPE,why,quality_attention_quality,component_partial,984,0.9939393939393939
EUROPE,WHY_EUROPE,why,quality_attention_quality,missing_component,6,0.006060606060606061
EUROPE,WHY_EUROPE,why,quality_concerns_barriers,component_partial,978,0.9878787878787879
EUROPE,WHY_EUROPE,why,quality_concerns_barriers,missing_component,12,0.012121212121212121
EUROPE,WHY_EUROPE,why,quality_determinants_32,usable_complete,972,0.9818181818181818
EUROPE,WHY_EUROPE,why,quality_determinants_32,no_determinants,9,0.00909090909090909
EUROPE,WHY_EUROPE,why,quality_determinants_32,too_many_missing,8,0.00808080808080808
EUROPE,WHY_EUROPE,why,quality_determinants_32,low_variability,1,0.00101010101010101
EUROPE,WHY_EUROPE,why,quality_energy_crisis,component_partial,981,0.990909090909091
EUROPE,WHY_EUROPE,why,quality_energy_crisis,missing_component,9,0.00909090909090909
EUROPE,WHY_EUROPE,why,quality_poverty,not_available_for_source,990,1
EUROPE,WHY_EUROPE,why,quality_propensity_score_model,missing_binary_vote_outcome,990,1
EUROPE,WHY_EUROPE,why,quality_propensity_score_predictors,minimal_predictors_available,774,0.7818181818181819
EUROPE,WHY_EUROPE,why,quality_propensity_score_predictors,partial_predictors,216,0.21818181818181817
EUROPE,WHY_EUROPE,why,quality_sociodemographics,core_complete,988,0.997979797979798
EUROPE,WHY_EUROPE,why,quality_sociodemographics,core_poor,2,0.00202020202020202
EUROPE,WHY_EUROPE,why,quality_tariffs_costs_payback,component_partial,990,1
EUROPE,WHY_EUROPE,why,quality_technology_adoption,component_partial,988,0.997979797979798
EUROPE,WHY_EUROPE,why,quality_technology_adoption,missing_component,2,0.00202020202020202
EUROPE,WHY_EUROPE,why,quality_trust_information,component_partial,990,1
EUROPE,WHY_EUROPE,why,quality_vote_politics,missing_or_not_collected,990,1
LATAM,WHY_LATAM,why,quality_attention_quality,component_partial,499,0.7821316614420063
LATAM,WHY_LATAM,why,quality_attention_quality,missing_component,139,0.21786833855799373
LATAM,WHY_LATAM,why,quality_concerns_barriers,component_partial,623,0.9764890282131662
LATAM,WHY_LATAM,why,quality_concerns_barriers,missing_component,15,0.023510971786833857
LATAM,WHY_LATAM,why,quality_determinants_32,usable_complete,610,0.9561128526645768
LATAM,WHY_LATAM,why,quality_determinants_32,too_many_missing,13,0.02037617554858934
LATAM,WHY_LATAM,why,quality_determinants_32,no_determinants,11,0.017241379310344827
LATAM,WHY_LATAM,why,quality_determinants_32,low_variability,4,0.006269592476489028
LATAM,WHY_LATAM,why,quality_energy_crisis,component_partial,631,0.9890282131661442
LATAM,WHY_LATAM,why,quality_energy_crisis,missing_component,7,0.0109717868338558
LATAM,WHY_LATAM,why,quality_poverty,not_available_for_source,638,1
LATAM,WHY_LATAM,why,quality_propensity_score_model,not_applicable_non_europe,638,1
LATAM,WHY_LATAM,why,quality_propensity_score_predictors,not_applicable_non_europe,638,1
LATAM,WHY_LATAM,why,quality_sociodemographics,core_complete,473,0.7413793103448276
LATAM,WHY_LATAM,why,quality_sociodemographics,core_poor,165,0.25862068965517243
LATAM,WHY_LATAM,why,quality_tariffs_costs_payback,component_partial,638,1
LATAM,WHY_LATAM,why,quality_technology_adoption,component_partial,638,1
LATAM,WHY_LATAM,why,quality_trust_information,component_partial,638,1
LATAM,WHY_LATAM,why,quality_vote_politics,missing_or_not_collected,638,1
