dataset_source,metadata_quality,n,prop
diego,metadata_complete,1857,0.9778830963665087
diego,metadata_partial,42,0.022116903633491312
rv,metadata_complete,988,0.8039056143205858
rv,metadata_partial,135,0.10984540276647681
rv,metadata_poor,106,0.08624898291293735
why,metadata_complete,1461,0.8974201474201474
why,metadata_partial,167,0.10257985257985258
