"cluster","n_patterns","pct_total_patterns","pct_rest_patterns"
"1",209,0.308082371497221,100
"2",218,0.321349076489925,99.6919176285028
"3",129,0.190156104895414,99.3705685520129
"4",95,0.140037441589646,99.1804124471174
"Restantes",67188,99.0403750055278,0
