"cluster","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"cluster_1",23.5294117647059,17.6470588235294,41.1764705882353,60,20,5.88235294117647,68.75,40
"cluster_2",16.6666666666667,11.1111111111111,41.1764705882353,50,20,5.88235294117647,58.8235294117647,31.25
"cluster_3",23.5294117647059,11.1111111111111,41.1764705882353,41.1764705882353,20,5.88235294117647,58.8235294117647,40
"cluster_4",16.6666666666667,17.6470588235294,41.1764705882353,50,20,5.88235294117647,42.1052631578947,23.5294117647059
"cluster_5",25,5.55555555555556,35.2941176470588,35.2941176470588,21.4285714285714,6.25,52.9411764705882,42.8571428571429
"cluster_6",23.5294117647059,11.1111111111111,41.1764705882353,41.1764705882353,20,5.88235294117647,50,23.5294117647059
"cluster_7",31.25,0,26.3157894736842,26.3157894736842,20,5.88235294117647,50,23.5294117647059
"cluster_8",10.5263157894737,17.6470588235294,33.3333333333333,41.1764705882353,12.5,5.88235294117647,35,5
