metric,value
FINANCIAL_mean,52.37865333333333
FINANCIAL_sd,9.290736582867842
FINANCIAL_min,15.34
FINANCIAL_max,82.38
SECURITY_mean,58.928264999999996
SECURITY_sd,11.333219096463601
SECURITY_min,26.275
SECURITY_max,96.85
COMPETENCE_mean,61.013495999999996
COMPETENCE_sd,8.894847460491222
COMPETENCE_min,27.5
COMPETENCE_max,92.46000000000001
AUTONOMY_mean,49.41173333333334
AUTONOMY_sd,12.799799454286754
AUTONOMY_min,8.625
AUTONOMY_max,88.875
PHYSIOLOGICAL_mean,45.12713333333333
PHYSIOLOGICAL_sd,12.446876519749692
PHYSIOLOGICAL_min,4
PHYSIOLOGICAL_max,97.85
RELATEDNESS_mean,50.85712933333333
RELATEDNESS_sd,8.002993316216603
RELATEDNESS_min,19.259999999999998
RELATEDNESS_max,77.66
STIMULATION_mean,47.01508888888889
STIMULATION_sd,11.486135328420449
STIMULATION_min,6.266666666666667
STIMULATION_max,83.86666666666666
POPULARITY_mean,50.870486666666665
POPULARITY_sd,11.169742022040857
POPULARITY_min,10.25
POPULARITY_max,95.95
MEANING_mean,52.006319999999995
MEANING_sd,11.03330684706988
MEANING_min,10.95
MEANING_max,91.4
