n_participants,macro_archetype_5,dimension,n_boot,mean_total_effect,sd_total_effect,min_total_effect,max_total_effect,prop_positive,prop_negative,stable_direction,abs_mean_total_effect
200,G1_Activist_Stubborn_Sentient,AUTONOMY,5,3.3402867278419768,0.7545351605423434,2.0107990236877495,3.873281272454369,1,0,positive,3.3402867278419768
200,G1_Activist_Stubborn_Sentient,SECURITY,5,-1.608675435698237,0.689188698174903,-2.1407090089022724,-0.6073562054232416,0,1,negative,1.608675435698237
200,G1_Activist_Stubborn_Sentient,FINANCIAL,5,-1.315442094138806,0.43076643563654177,-1.777532399093574,-0.6994286684271396,0,1,negative,1.315442094138806
200,G2_EarlyAdopter_Influencer,AUTONOMY,5,2.910717399565412,0.4170984962190496,2.3127115238021836,3.396689039864978,1,0,positive,2.910717399565412
200,G2_EarlyAdopter_Influencer,MEANING,5,2.110123651612877,0.5894235908680121,1.4547618907855102,2.967277571734241,1,0,positive,2.110123651612877
200,G2_EarlyAdopter_Influencer,SECURITY,5,-1.7791294914404012,0.3988486347303267,-2.236729981447683,-1.1600016499185426,0,1,negative,1.7791294914404012
200,G3_Fearful_Careful,AUTONOMY,5,2.5708533437780914,0.32427694929110007,2.2027433337073905,2.991403598971879,1,0,positive,2.5708533437780914
200,G3_Fearful_Careful,SECURITY,5,-2.2594475353104873,0.44729897911941197,-3.016893722984087,-1.8886038899164799,0,1,negative,2.2594475353104873
200,G3_Fearful_Careful,PHYSIOLOGICAL,5,-1.4647582348829096,0.408203372857199,-1.9485108163040503,-0.8327059512365196,0,1,negative,1.4647582348829096
200,G4_HomoEconomicus,AUTONOMY,5,3.4629567078544463,1.389722062666197,1.8640192836519915,5.253116444204518,1,0,positive,3.4629567078544463
200,G4_HomoEconomicus,STIMULATION,5,2.0476547282004045,0.9207398667280784,0.8239350960920943,3.1037958995377024,1,0,positive,2.0476547282004045
200,G4_HomoEconomicus,FINANCIAL,5,-1.6912681035649613,0.679312567719245,-2.7399200715035237,-0.8563786324690283,0,1,negative,1.6912681035649613
200,G5_Uninterested,AUTONOMY,5,3.7018203094567794,1.61247274301525,2.1509718155206103,5.935990804239827,1,0,positive,3.7018203094567794
200,G5_Uninterested,PHYSIOLOGICAL,5,-2.5362956294616876,0.5813110979223891,-3.5152424712508914,-2.057693384006413,0,1,negative,2.5362956294616876
200,G5_Uninterested,POPULARITY,5,1.5412381629561929,1.324158271586876,-0.6144320519802349,2.644625221752052,0.8,0.2,positive,1.5412381629561929
300,G1_Activist_Stubborn_Sentient,AUTONOMY,5,2.9689840410954664,0.39008522575760063,2.6047041461942624,3.566498121351171,1,0,positive,2.9689840410954664
300,G1_Activist_Stubborn_Sentient,MEANING,5,1.6080522769916765,0.36934533719838397,1.0720331381472832,1.9596738591133216,1,0,positive,1.6080522769916765
300,G1_Activist_Stubborn_Sentient,SECURITY,5,-1.5957426080086223,0.33922756229361806,-1.9264886380028432,-1.041898131862491,0,1,negative,1.5957426080086223
300,G2_EarlyAdopter_Influencer,AUTONOMY,5,2.7831479705547495,0.24743598946079717,2.5772579866001486,3.075411816297183,1,0,positive,2.7831479705547495
