sample_label,n_participants,boot_id,model_type,formula,status,error_message,warnings,n_rows,n_unique_participants,AIC,BIC,logLik,n_terms_with_p,n_significant_terms
bootstrap,300,2,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,900,300,1104.5827696702543,1181.4210858834433,-536.2913848351271,0,0
bootstrap,300,2,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,900,300,909.1341435837517,1158.858671276616,-402.56707179187583,51,21
bootstrap,300,3,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,900,300,1786.8737760922593,1820.4905394355294,-886.4368880461296,6,6
bootstrap,300,3,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,900,300,1115.3470687304032,1192.1853849435922,-541.6735343652016,15,13
bootstrap,300,3,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,900,300,946.7950368608927,1196.519564553757,-421.3975184304463,51,25
bootstrap,300,4,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,900,300,1821.5158072746826,1855.1325706179528,-903.7579036373413,0,0
bootstrap,300,4,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,900,300,1110.2772052746568,1187.1155214878459,-539.1386026373284,0,0
bootstrap,300,4,M2,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,,900,300,888.9988876417628,1138.7234153346271,-392.4994438208814,0,0
bootstrap,300,5,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,900,300,1862.1906047330806,1895.8073680763507,-924.0953023665403,6,5
bootstrap,300,5,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,900,300,1111.5858682154937,1188.4241844286828,-539.7929341077469,15,12
