n_participants,macro_archetype_5,dimension,n_boot,mean_total_effect,sd_total_effect,min_total_effect,max_total_effect,prop_positive,prop_negative,stable_direction,abs_mean_total_effect
200,G1_Activist_Stubborn_Sentient,AUTONOMY,5,3.3402867278419768,0.7545351605423434,2.0107990236877495,3.873281272454369,1,0,positive,3.3402867278419768
200,G1_Activist_Stubborn_Sentient,SECURITY,5,-1.608675435698237,0.689188698174903,-2.1407090089022724,-0.6073562054232416,0,1,negative,1.608675435698237
200,G1_Activist_Stubborn_Sentient,FINANCIAL,5,-1.315442094138806,0.43076643563654177,-1.777532399093574,-0.6994286684271396,0,1,negative,1.315442094138806
200,G1_Activist_Stubborn_Sentient,MEANING,5,1.1868724113591296,0.3110062673992528,0.8011258780964793,1.4839227870706586,1,0,positive,1.1868724113591296
200,G1_Activist_Stubborn_Sentient,POPULARITY,5,1.0854092000687587,0.5572190279697379,0.22989808297505104,1.7810391860184254,1,0,positive,1.0854092000687587
200,G1_Activist_Stubborn_Sentient,PHYSIOLOGICAL,5,0.668550555561053,0.7345827722441087,-0.3911843487955317,1.6831750402462062,0.8,0.2,positive,0.668550555561053
200,G1_Activist_Stubborn_Sentient,COMPETENCE,5,0.28378638477189166,0.2760405612234157,-0.19166985280599755,0.5309440180922507,0.8,0.2,positive,0.28378638477189166
200,G1_Activist_Stubborn_Sentient,STIMULATION,5,0.275957470326737,0.46607895074619177,-0.2909717625539923,0.9905744868271618,0.8,0.2,positive,0.275957470326737
200,G1_Activist_Stubborn_Sentient,RELATEDNESS,5,0.01103502638753191,0.28718897217151185,-0.28440906155121604,0.3820318817120085,0.4,0.6,unstable,0.01103502638753191
200,G2_EarlyAdopter_Influencer,AUTONOMY,5,2.910717399565412,0.4170984962190496,2.3127115238021836,3.396689039864978,1,0,positive,2.910717399565412
200,G2_EarlyAdopter_Influencer,MEANING,5,2.110123651612877,0.5894235908680121,1.4547618907855102,2.967277571734241,1,0,positive,2.110123651612877
200,G2_EarlyAdopter_Influencer,SECURITY,5,-1.7791294914404012,0.3988486347303267,-2.236729981447683,-1.1600016499185426,0,1,negative,1.7791294914404012
200,G2_EarlyAdopter_Influencer,FINANCIAL,5,1.487793366551906,0.293907202461101,1.1859627442716654,1.9176345197344367,1,0,positive,1.487793366551906
200,G2_EarlyAdopter_Influencer,STIMULATION,5,-1.0186559145529555,0.37672867159514534,-1.5349864291970783,-0.6068575081583325,0,1,negative,1.0186559145529555
200,G2_EarlyAdopter_Influencer,COMPETENCE,5,-0.8915950939478894,0.3574167038944503,-1.1791871113266668,-0.2927386454305936,0,1,negative,0.8915950939478894
200,G2_EarlyAdopter_Influencer,PHYSIOLOGICAL,5,-0.756970800332776,0.3383623638030395,-1.0707839352593167,-0.24321057576637342,0,1,negative,0.756970800332776
200,G2_EarlyAdopter_Influencer,RELATEDNESS,5,-0.5866583819470229,0.49262477411981487,-1.3084284804650432,0.034285000028549936,0.2,0.8,negative,0.5866583819470229
200,G2_EarlyAdopter_Influencer,POPULARITY,5,-0.09043140730842066,0.4207964290135335,-0.6461896043630897,0.44611997876088816,0.4,0.6,unstable,0.09043140730842066
