term,estimate,std.error,statistic,p.value,coef.type,sample_label,n_participants,boot_id,model_type,formula,is_dimension_term,is_interaction_term,is_archetype_term,is_significant
Knowledge|Considering,-1.1025704540909127,0.1979882206382615,-5.568868948549151,2.5639823322336495e-8,intercept,bootstrap,200,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
Considering|Done,0.6157394830663475,0.192759588718986,3.194339058089616,0.0014015140658903754,intercept,bootstrap,200,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,0.7222857918961324,0.2335868354033589,3.0921511079547175,0.001987116684839165,location,bootstrap,200,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful,-0.8462180887524999,0.2420485322991546,-3.4960678369519513,4.7216864557781036e-4,location,bootstrap,200,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus,-0.496555017161191,0.30405261676096257,-1.6331219985900278,0.10244334075688608,location,bootstrap,200,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,TRUE,FALSE
macro_archetype_5G5_Uninterested,-1.7667799772061468,0.4147067739569329,-4.260311352882859,2.0414232412754696e-5,location,bootstrap,200,1,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
Knowledge|Considering,1.1208222518809703,0.30165764003140405,3.7155440577082257,2.0276692901371367e-4,intercept,bootstrap,200,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
Considering|Done,4.336179449795134,0.40688878813312906,10.656915541197927,1.6187728391812156e-26,intercept,bootstrap,200,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,1.6093561218078187,0.33765117220653657,4.766327660854078,1.8761406227997163e-6,location,bootstrap,200,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful,5.627954903058266,0.5895605828030394,9.546016248746493,1.3477960838638113e-21,location,bootstrap,200,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus,5.551051945434358,0.690993645631576,8.033434143031277,9.478154179882833e-16,location,bootstrap,200,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G5_Uninterested,4.291071737841922,0.6803665702241962,6.306999675818753,2.8449642633127223e-10,location,bootstrap,200,1,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
