term,estimate,std.error,statistic,p.value,coef.type,sample_label,n_participants,boot_id,model_type,formula,is_dimension_term,is_interaction_term,is_archetype_term,is_significant
Knowledge|Considering,-1.2099745413133758,0.036507819606708083,-33.14288704031644,7.170668890542856e-241,intercept,full,5000,0,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
Considering|Done,0.6104994778315881,0.03463822194858743,17.625023557437096,1.583027318541459e-69,intercept,full,5000,0,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,0.6110222282846459,0.04289713308245282,14.243894274011195,4.892302388180763e-46,location,full,5000,0,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful,-1.0471465017929236,0.04661137568800699,-22.465470849905685,9.034925171131461e-112,location,full,5000,0,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus,-0.4705514345305556,0.058419243356087676,-8.054733466203324,7.965218477238544e-16,location,full,5000,0,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G5_Uninterested,-1.8361662285767166,0.06868023238479688,-26.735003141648832,1.8450453540428313e-157,location,full,5000,0,M0,adoption_stage ~ macro_archetype_5 + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
Knowledge|Considering,1.004832844212454,0.06052544284140951,16.601825563595554,6.760317707915349e-62,intercept,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
Considering|Done,4.647168168423208,0.0843229780389923,55.11152803775837,0,intercept,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,FALSE,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,1.842815163089768,0.06888250343592886,26.75302248275376,1.1387400932605875e-157,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G3_Fearful_Careful,5.737077147332155,0.1222815909849535,46.91693247627184,0,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G4_HomoEconomicus,5.604968632738452,0.1418213735528434,39.5213252581425,0,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
macro_archetype_5G5_Uninterested,4.028414828541708,0.12715817690513562,31.680344328521194,2.898317464947029e-220,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),FALSE,FALSE,TRUE,TRUE
z_FINANCIAL,-0.07261521380242568,0.02692338274975685,-2.697105875489642,0.006994502772476619,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
z_SECURITY,-1.5165127956428768,0.03563168593805203,-42.560792612491916,0,location,full,5000,0,M1,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),TRUE,FALSE,FALSE,TRUE
