n_participants,dimension,n_boot,mean_effect,sd_effect,mean_p_value,significance_rate,prop_positive,prop_negative,stable_direction
200,AUTONOMY,5,2.4383335707341547,0.19233697095166705,9.724747446104416e-26,1,1,0,positive
200,SECURITY,5,-1.5360856736510922,0.06344718891856556,1.2506333065069793e-16,1,0,1,negative
200,MEANING,5,0.8742174034441099,0.1223085497475825,6.341487242057346e-7,1,1,0,positive
200,PHYSIOLOGICAL,5,-0.7266706892738144,0.19564053245163862,1.5000981812745576e-6,1,0,1,negative
200,POPULARITY,5,0.26026267568549694,0.10819896078917395,0.10410809756612692,0.4,1,0,positive
200,STIMULATION,5,0.22817060845352216,0.23793917933945435,0.3930092896953465,0.4,1,0,positive
200,COMPETENCE,5,-0.1913196916459585,0.07289451048215599,0.18258172279941423,0.2,0,1,negative
200,RELATEDNESS,5,-0.1708239690438434,0.10958980693783182,0.3151647955356231,0.2,0,1,negative
200,FINANCIAL,5,-0.08446918057916387,0.15833553095760763,0.33745992292214144,0,0.2,0.8,negative
300,AUTONOMY,5,2.5520822020894434,0.1261470047329057,7.232957277995013e-42,1,1,0,positive
300,SECURITY,5,-1.5116825725848753,0.13500033943502165,4.2800685336682556e-23,1,0,1,negative
300,MEANING,5,1.000654358779662,0.15862599235146466,6.225410727600237e-11,1,1,0,positive
300,PHYSIOLOGICAL,5,-0.696965053570534,0.12340985548306016,7.048407845747799e-10,1,0,1,negative
300,COMPETENCE,5,-0.29283613181427404,0.07650044079574599,0.011146696515326907,1,0,1,negative
300,STIMULATION,5,0.24748801423064123,0.07078260827020305,0.040046161153002996,0.6666666666666666,1,0,positive
300,POPULARITY,5,0.1249567618414178,0.1359791787505227,0.455412357082446,0.3333333333333333,0.8,0.2,positive
300,RELATEDNESS,5,-0.10605958225013101,0.1615552759140689,0.3861146212896624,0,0.2,0.8,negative
300,FINANCIAL,5,-0.03248183152308964,0.2452120796308543,0.3624882179476736,0,0.4,0.6,unstable
600,AUTONOMY,5,2.5251163887193027,0.1413569798283203,6.253289345458409e-81,1,1,0,positive
600,SECURITY,5,-1.4918982180089728,0.05171184437089473,9.199685306770306e-47,1,0,1,negative
600,MEANING,5,1.018208125311594,0.12875808466346034,1.6695091458350428e-20,1,1,0,positive
600,PHYSIOLOGICAL,5,-0.6509944673853671,0.127837686405875,1.9144552504692664e-14,1,0,1,negative
600,COMPETENCE,5,-0.2276806944537254,0.07589912846640376,0.025863271692524725,0.8,0,1,negative
600,STIMULATION,5,0.19456174378282265,0.09383050577459738,0.09143037969322007,0.6,1,0,positive
600,POPULARITY,5,0.15341614039140442,0.08641397987331584,0.17875220145626608,0.6,1,0,positive
600,RELATEDNESS,5,-0.10160965661262124,0.0748120014363929,0.3404547176940358,0.4,0,1,negative
600,FINANCIAL,5,-0.08424736903114721,0.10431289013651723,0.5200265359038714,0.2,0,1,negative
1000,AUTONOMY,5,2.56562221142455,0.059291703233124896,5.647035757632083e-142,1,1,0,positive
1000,SECURITY,5,-1.5712285257061918,0.0836503068820326,6.376406058038156e-76,1,0,1,negative
1000,MEANING,5,1.0767744191518211,0.035136995540103654,3.8030325371342646e-45,1,1,0,positive
1000,PHYSIOLOGICAL,5,-0.6641114517460924,0.054994315771552504,4.297003176603536e-26,1,0,1,negative
1000,COMPETENCE,5,-0.26937278985297786,0.04279630784766386,4.179665646901678e-5,1,0,1,negative
1000,STIMULATION,5,0.24065561492458962,0.07839444699679951,0.007204899321636963,1,1,0,positive
1000,POPULARITY,5,0.13392115937209786,0.06829348603621842,0.12101827556700297,0.6,1,0,positive
1000,FINANCIAL,5,-0.10699584413350081,0.05668730001067313,0.18736399275282686,0.4,0,1,negative
1000,RELATEDNESS,5,-0.10641711006287738,0.0677262938943066,0.21607341117861467,0.4,0,1,negative
2000,AUTONOMY,5,2.582883602913986,0.029940261763381625,7.894166128729575e-285,1,1,0,positive
2000,SECURITY,5,-1.4991659971082705,0.05430688011116202,1.9190749268143237e-146,1,0,1,negative
2000,MEANING,5,1.027433546229461,0.012250810772104985,1.2263134963456916e-84,1,1,0,positive
2000,PHYSIOLOGICAL,5,-0.6550412967018785,0.0335586808659078,7.418633956178303e-55,1,0,1,negative
2000,COMPETENCE,5,-0.239640797239631,0.061905533095028296,1.76667190373661e-6,1,0,1,negative
2000,STIMULATION,5,0.21202169743020907,0.03143723039217665,1.3181008198841373e-4,1,1,0,positive
2000,POPULARITY,5,0.14731649495966742,0.03336242860989871,0.004897434663440153,1,1,0,positive
2000,RELATEDNESS,5,-0.13544082068629207,0.022684673378920828,0.00371890149963488,1,0,1,negative
2000,FINANCIAL,5,-0.06354865988222216,0.048171171177339156,0.16840182609932752,0.2,0.2,0.8,negative
