macro_archetype_5,archetype_label
G1_Activist_Stubborn_Sentient,G1 - Activista / resistente / consciente
G2_EarlyAdopter_Influencer,G2 - Adoptante temprano / influencer
G3_Fearful_Careful,G3 - Temeroso / cuidadoso
G4_HomoEconomicus,G4 - Homo economicus
G5_Uninterested,G5 - Desinteresado
