macro_archetype_5,adoption_stage,mean_FINANCIAL,mean_SECURITY,mean_COMPETENCE,mean_AUTONOMY,mean_PHYSIOLOGICAL,mean_RELATEDNESS,mean_STIMULATION,mean_POPULARITY,mean_MEANING,n_rows,n_participants
G1_Activist_Stubborn_Sentient,Knowledge,43.58409703504043,56.59241913746631,51.68975741239892,48.55427897574124,35.62196765498652,50.084959568733154,51.27659478885894,42.89898921832884,52.13820754716981,742,589
G1_Activist_Stubborn_Sentient,Considering,48.49837173579109,49.32642089093702,67.05236559139784,52.33575268817204,39.94412442396313,52.790460829493085,47.852278545826934,51.117818740399386,62.01635944700461,1302,840
G1_Activist_Stubborn_Sentient,Done,42.41137533274179,54.54392191659272,57.40795031055901,67.22874889086069,45.91978704525288,55.488642413487135,55.251848565513164,50.775953859804794,64.50594498669032,1127,769
G2_EarlyAdopter_Influencer,Knowledge,46.85326708074534,55.46080745341615,66.93455900621117,46.812670807453415,41.466894409937886,53.11192546583851,56.72488612836439,60.51074534161491,49.75900621118012,805,682
G2_EarlyAdopter_Influencer,Considering,53.51057283142389,52.46624386252046,62.722989634479,50.85263229678123,45.484042553191486,56.55459901800327,55.82482269503546,54.90234588106929,50.85171849427169,1833,1264
G2_EarlyAdopter_Influencer,Done,56.52115341959335,51.33676524953789,63.40229205175601,62.01365064695009,41.13996303142329,53.23531977818854,53.402279728897106,61.10201478743068,61.26356746765249,2705,1566
G3_Fearful_Careful,Knowledge,55.74681490384615,78.02934194711538,57.58251201923077,34.7978515625,54.81724759615385,47.38832932692308,33.61522435897436,45.88100961538461,47.18374399038461,1664,1012
G3_Fearful_Careful,Considering,56.540432140445645,64.82866306549629,70.937798784605,39.687879810938554,41.76948008102633,51.65789331532748,43.34996623902769,44.50914922349764,45.92312626603646,1481,954
G3_Fearful_Careful,Done,53.573908256880735,63.58866972477064,54.67856880733945,55.76545871559633,39.56,45.21559633027523,39.906666666666666,41.71137614678899,47.77100917431193,545,465
G4_HomoEconomicus,Knowledge,66.07657894736842,64.74435307017544,60.14526315789474,36.137719298245614,41.74539473684211,40.516885964912284,36.803216374269006,42.73201754385965,41.28717105263158,456,338
G4_HomoEconomicus,Considering,58.939738751814225,74.01549346879536,62.73076923076923,44.322206095791,40.53098693759071,39.876603773584904,43.65360425737784,46.16139332365748,41.240058055152396,689,421
G4_HomoEconomicus,Done,55.67340974212034,53.56110315186246,49.30320916905444,54.01948424068768,46.227077363896846,41.484928366762176,50.109551098376315,43.15429799426934,43.32449856733524,349,269
G5_Uninterested,Knowledge,44.16409356725146,60.03751461988304,52.26280701754386,36.438625730994154,74.28649122807018,50.424163742690055,33.16101364522417,42.86836257309942,39.942280701754385,855,414
G5_Uninterested,Considering,44.92173374613003,57.43506191950465,47.05486068111455,38.9656346749226,36.89349845201238,44.16792569659443,33.292156862745095,57.33157894736842,44.30092879256966,323,250
G5_Uninterested,Done,44.91225806451613,56.06008064516129,49.00774193548387,47.68306451612903,44.48951612903226,49.95129032258065,38.894892473118276,50.799193548387095,45.1375,124,107
