original_archetype,macro_archetype_5,adoption_stage,determinant,expert_active
Early_Adopter,G2_EarlyAdopter_Influencer,Knowledge,environmental_concerns,TRUE
Early_Adopter,G2_EarlyAdopter_Influencer,Knowledge,trends,TRUE
Early_Adopter,G2_EarlyAdopter_Influencer,Knowledge,novelty,TRUE
Early_Adopter,G2_EarlyAdopter_Influencer,Considering,knowledge,TRUE
Early_Adopter,G2_EarlyAdopter_Influencer,Done,adherence,TRUE
Uninterested,G5_Uninterested,Knowledge,technical_fit,TRUE
Uninterested,G5_Uninterested,Knowledge,peer_pressure,TRUE
Uninterested,G5_Uninterested,Knowledge,coziness,TRUE
Uninterested,G5_Uninterested,Knowledge,legal,TRUE
Uninterested,G5_Uninterested,Knowledge,wellbeing,TRUE
Uninterested,G5_Uninterested,Considering,authority,TRUE
Uninterested,G5_Uninterested,Done,NA,TRUE
Homo_Economicus,G4_HomoEconomicus,Knowledge,knowledge,TRUE
Homo_Economicus,G4_HomoEconomicus,Knowledge,profits,TRUE
Homo_Economicus,G4_HomoEconomicus,Knowledge,cost_efficiency,TRUE
Homo_Economicus,G4_HomoEconomicus,Knowledge,added_value,TRUE
Homo_Economicus,G4_HomoEconomicus,Knowledge,legal,TRUE
Homo_Economicus,G4_HomoEconomicus,Considering,technical_fit,TRUE
Homo_Economicus,G4_HomoEconomicus,Considering,trust,TRUE
Homo_Economicus,G4_HomoEconomicus,Considering,safety,TRUE
Homo_Economicus,G4_HomoEconomicus,Done,self_satisfaction,TRUE
Fearful,G3_Fearful_Careful,Knowledge,cost_efficiency,TRUE
Fearful,G3_Fearful_Careful,Knowledge,safety,TRUE
Fearful,G3_Fearful_Careful,Knowledge,risk_profile,TRUE
Fearful,G3_Fearful_Careful,Knowledge,legal,TRUE
Fearful,G3_Fearful_Careful,Knowledge,trust,TRUE
Fearful,G3_Fearful_Careful,Knowledge,wellbeing,TRUE
Fearful,G3_Fearful_Careful,Considering,knowledge,TRUE
Fearful,G3_Fearful_Careful,Considering,technical_fit,TRUE
Fearful,G3_Fearful_Careful,Done,NA,TRUE
Stubborn,G1_Activist_Stubborn_Sentient,Knowledge,NA,TRUE
Stubborn,G1_Activist_Stubborn_Sentient,Considering,knowledge,TRUE
Stubborn,G1_Activist_Stubborn_Sentient,Done,self_satisfaction,TRUE
Influencer,G2_EarlyAdopter_Influencer,Knowledge,peer_pressure,TRUE
Influencer,G2_EarlyAdopter_Influencer,Considering,knowledge,TRUE
Influencer,G2_EarlyAdopter_Influencer,Considering,socialising,TRUE
Influencer,G2_EarlyAdopter_Influencer,Done,approval,TRUE
Influencer,G2_EarlyAdopter_Influencer,Done,recognition,TRUE
Careful,G3_Fearful_Careful,Knowledge,environmental_concerns,TRUE
Careful,G3_Fearful_Careful,Knowledge,risk_profile,TRUE
Careful,G3_Fearful_Careful,Knowledge,safety,TRUE
Careful,G3_Fearful_Careful,Knowledge,climate_protection,TRUE
Careful,G3_Fearful_Careful,Knowledge,wellbeing,TRUE
Careful,G3_Fearful_Careful,Considering,cost_efficiency,TRUE
Careful,G3_Fearful_Careful,Considering,own_competence,TRUE
Careful,G3_Fearful_Careful,Done,adherence,TRUE
Activist,G1_Activist_Stubborn_Sentient,Knowledge,environmental_concerns,TRUE
Activist,G1_Activist_Stubborn_Sentient,Knowledge,trust,TRUE
Activist,G1_Activist_Stubborn_Sentient,Considering,technical_fit,TRUE
Activist,G1_Activist_Stubborn_Sentient,Done,self_satisfaction,TRUE
