n_participants,model_type,term,n_boot,n_significant,significance_rate,mean_estimate,sd_estimate,mean_p_value
200,M0,Knowledge|Considering,3,3,1,-1.1115479699195672,0.08112969111139565,9.807718898232402e-9
200,M0,macro_archetype_5G5_Uninterested,3,3,1,-1.6560341344394127,0.10413818198427803,8.745233982918832e-6
200,M0,macro_archetype_5G3_Fearful_Careful,3,3,1,-0.8782962010471722,0.12077952268312779,3.3004479921189484e-4
200,M0,Considering|Done,3,3,1,0.6338536819151543,0.10389434273278728,0.0017710086770341786
200,M0,macro_archetype_5G2_EarlyAdopter_Influencer,3,3,1,0.769085606312345,0.24098607273928763,0.0052207494574033906
200,M0,macro_archetype_5G4_HomoEconomicus,3,0,0,-0.31724592275029256,0.31901210645934547,0.35075800297617155
200,M1,Considering|Done,5,5,1,4.517959973772984,0.3472493866575174,1.4495261425728973e-26
200,M1,z_AUTONOMY,5,5,1,2.4383335707341547,0.19233697095166716,9.724747446104416e-26
200,M1,macro_archetype_5G3_Fearful_Careful,5,5,1,5.557338244478446,0.3837764339860648,2.8159948754426775e-20
200,M1,z_SECURITY,5,5,1,-1.5360856736510922,0.06344718891856557,1.2506333065069793e-16
200,M1,macro_archetype_5G4_HomoEconomicus,5,5,1,5.242886649756055,0.5561779093045197,1.1738961723925868e-11
200,M1,macro_archetype_5G5_Uninterested,5,5,1,3.6830558600661565,0.4065787777752305,2.1059412786839165e-7
200,M1,z_MEANING,5,5,1,0.8742174034441099,0.1223085497475825,6.341487242057346e-7
200,M1,z_PHYSIOLOGICAL,5,5,1,-0.7266706892738144,0.19564053245163862,1.5000981812745576e-6
200,M1,macro_archetype_5G2_EarlyAdopter_Influencer,5,5,1,1.623074821085735,0.1720247738650052,1.6224639463221923e-5
200,M1,Knowledge|Considering,5,5,1,1.0960569091396066,0.3103694575989139,0.004464557544426589
200,M1,z_POPULARITY,5,2,0.4,0.26026267568549694,0.10819896078917395,0.1041080975661269
200,M1,z_STIMULATION,5,2,0.4,0.22817060845352216,0.23793917933945435,0.3930092896953465
200,M1,z_COMPETENCE,5,1,0.2,-0.1913196916459585,0.07289451048215599,0.18258172279941423
200,M1,z_RELATEDNESS,5,1,0.2,-0.1708239690438434,0.10958980693783182,0.3151647955356231
200,M1,z_FINANCIAL,5,0,0,-0.08446918057916387,0.15833553095760763,0.33745992292214144
200,M2,Considering|Done,4,4,1,6.309742169778815,1.084591925954113,1.1798638017838505e-11
200,M2,macro_archetype_5G3_Fearful_Careful,4,4,1,6.691092471300562,1.1161637050929178,7.925637697491903e-8
200,M2,z_AUTONOMY,4,4,1,3.26533253437662,0.8494960489642861,8.092890096724191e-6
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,4,4,1,2.7477040404249466,0.6785009892640949,2.3347373687946095e-5
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer,4,4,1,3.6295060887780544,1.3278399503714775,0.0018715312251050744
200,M2,macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,4,4,1,-2.0376657401842717,0.597989282896553,0.003762049005213175
200,M2,macro_archetype_5G4_HomoEconomicus,4,4,1,5.854684774247373,1.7721492479685714,0.01195775726372761
200,M2,z_MEANING,4,4,1,1.2833090446747923,0.25877861100515426,0.013416407637864409
200,M2,z_FINANCIAL,4,3,0.75,-1.199919517900114,0.39804923308034634,0.01630451298703913
200,M2,z_SECURITY,4,3,0.75,-1.475667042397228,0.7178903335463234,0.07669277950025177
200,M2,macro_archetype_5G5_Uninterested:z_PHYSIOLOGICAL,4,3,0.75,-3.0708406252152707,0.9256491867814636,0.10103957765490229
200,M2,z_POPULARITY,4,3,0.75,1.0840227456060987,0.6434111529979922,0.13234624367972345
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,4,3,0.75,-1.1833779426445137,0.8985811093082039,0.19195444004800363
200,M2,macro_archetype_5G3_Fearful_Careful:z_POPULARITY,4,3,0.75,-1.2239879453955336,0.9416566779364371,0.22237704819924736
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_COMPETENCE,4,2,0.5,-1.0918762269461637,0.49106242933915345,0.08318658360674036
200,M2,macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,4,2,0.5,1.118488927584781,0.6030807820556334,0.13457793165312038
200,M2,macro_archetype_5G4_HomoEconomicus:z_STIMULATION,4,2,0.5,2.045975434142048,1.0981422688797897,0.14456602633461996
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,4,2,0.5,-1.1971824879773587,0.6709022191127645,0.16070155570789915
200,M2,macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,4,2,0.5,-0.7996167543969754,0.7295552933401057,0.26970934359204635
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_POPULARITY,4,1,0.25,-1.035514603650852,0.5446013249728474,0.09512740909282
200,M2,macro_archetype_5G4_HomoEconomicus:z_COMPETENCE,4,1,0.25,-1.2519907861733293,0.41320368684246667,0.10837413777731333
200,M2,macro_archetype_5G4_HomoEconomicus:z_POPULARITY,4,1,0.25,0.007658575216399621,1.8073714564730432,0.1911882949003902
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,4,1,0.25,-0.4761080448860999,1.099059582553555,0.19657169672796743
200,M2,Knowledge|Considering,4,1,0.25,1.2515332353925133,1.0528842749606702,0.2083875707564919
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_SECURITY,4,1,0.25,-0.25766190511342635,1.1278217815477898,0.24015803437387764
200,M2,macro_archetype_5G4_HomoEconomicus:z_MEANING,4,1,0.25,-1.2811515960779916,0.7468859342626191,0.26911778741159403
200,M2,macro_archetype_5G3_Fearful_Careful:z_MEANING,4,1,0.25,-0.9173691656332817,0.6458433334040553,0.28360530166155884
200,M2,macro_archetype_5G5_Uninterested,4,1,0.25,3.7672191391017504,2.6685987981672676,0.30303636723753336
200,M2,macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,4,1,0.25,-0.06070979240554186,1.6004196578592333,0.32500955240726626
200,M2,macro_archetype_5G5_Uninterested:z_POPULARITY,4,1,0.25,0.22408540824470807,1.736613499535087,0.39697292502365417
200,M2,z_STIMULATION,4,1,0.25,0.30760920208543413,0.5319403822635872,0.41824548064882655
200,M2,macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,4,1,0.25,-0.5103433171866405,0.903910866849309,0.42017168838744723
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_MEANING,4,1,0.25,0.6125261269077437,0.5677481436094319,0.4445618505625537
200,M2,macro_archetype_5G3_Fearful_Careful:z_SECURITY,4,1,0.25,-0.5944189459948597,0.8754922130181368,0.4596714174033493
200,M2,macro_archetype_5G4_HomoEconomicus:z_SECURITY,4,1,0.25,0.8889235554725146,1.2081638825392373,0.5344150565333615
200,M2,z_PHYSIOLOGICAL,4,0,0,0.4148944343897647,0.5390172665626753,0.13462526894229465
200,M2,macro_archetype_5G4_HomoEconomicus:z_RELATEDNESS,4,0,0,-0.6871136816594232,0.8419863762444781,0.225083151397623
200,M2,z_COMPETENCE,4,0,0,0.26451087913739213,0.31483469917447193,0.3317227247184061
200,M2,macro_archetype_5G3_Fearful_Careful:z_COMPETENCE,4,0,0,-0.47557684311462844,0.2752317135310443,0.35891396966315525
200,M2,macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,4,0,0,-0.5180901756673638,1.0181978147170954,0.3691898425970631
200,M2,macro_archetype_5G3_Fearful_Careful:z_STIMULATION,4,0,0,0.4932674387122418,0.3699181165872015,0.45738818792022795
200,M2,macro_archetype_5G5_Uninterested:z_COMPETENCE,4,0,0,-1.2500565524972345,1.7457450103557053,0.4970026390533586
200,M2,macro_archetype_5G2_EarlyAdopter_Influencer:z_RELATEDNESS,4,0,0,-0.36670717307564776,0.3792705915729061,0.5034349206131219
200,M2,macro_archetype_5G5_Uninterested:z_STIMULATION,4,0,0,-0.12396243682386054,2.7375497119821404,0.5107537020174077
200,M2,macro_archetype_5G5_Uninterested:z_SECURITY,4,0,0,-0.5263081300551913,4.409001489207617,0.5150971558732904
200,M2,macro_archetype_5G5_Uninterested:z_FINANCIAL,4,0,0,1.3832435022056297,2.549456175951742,0.5201724980162542
200,M2,macro_archetype_5G5_Uninterested:z_AUTONOMY,4,0,0,0.6807303798382001,1.454379952314173,0.5381028160516864
200,M2,z_RELATEDNESS,4,0,0,-0.03950868424187007,0.30485881391443215,0.5938681894481078
200,M2,macro_archetype_5G5_Uninterested:z_MEANING,4,0,0,-0.6387617126909821,1.739819637350584,0.6191015452402863
200,M2,macro_archetype_5G5_Uninterested:z_RELATEDNESS,4,0,0,-0.8080709278190275,0.6481736867880815,0.6720007516503466
200,M2,macro_archetype_5G3_Fearful_Careful:z_RELATEDNESS,4,0,0,0.10631407114046382,0.23531426544464917,0.80456112814757
