term,estimate,std_error,z_value,p_value
(Intercept),0.6704429087616854,0.867898721815896,0.772489798531935,0.4398243866706922
f_age_group_model45_54,0.648973596159075,0.36429193887706013,1.7814657062123138,0.0748364024581018
f_age_group_model55_64,1.1580411855802493,0.46868508108226514,2.470830056946033,0.013479986121784212
f_age_group_model35_44,0.7040431666791743,0.3007755561381897,2.340759254903366,0.019244571975719372
f_age_group_model65_PLUS,1.1187247634493713,1.0994458948842916,1.0175350771282008,0.30889895432863795
f_age_group_model18_24,-0.30586124294688005,0.3519135936891417,-0.8691373349364236,0.3847720179528766
f_age_group_modelUNKNOWN_MODEL,0.5892434894177145,0.5081267259056413,1.1596388447537327,0.24619587865437478
f_gender_modelMALE,-0.27541692871661405,0.21700030670878614,-1.2692006425881364,0.2043695119462376
f_gender_modelUNKNOWN_MODEL,-0.35014552773105595,0.8333806134363543,-0.4201507955497896,0.6743752972142145
f_gender_modelOTHER_MODEL,-2.0839139161471762,1.0136743173303273,-2.055802224165544,0.039801583566345715
f_country_model_groupedGB,-0.5903565016726388,0.8672807873238533,-0.6806982355671537,0.4960624530271316
f_country_model_groupedPT,-0.8403670480666219,1.1029946677799585,-0.7618958392229241,0.44612217350122724
f_country_model_groupedES,0.10006029930550953,0.9056560609648104,0.11048377371749009,0.9120257177817753
f_country_model_groupedIT,-0.16053552661033976,0.9077560222212784,-0.1768487596672831,0.8596271879506857
f_country_model_groupedFR,-0.790831432401798,0.8761816191089155,-0.9025884761267654,0.3667443448937597
f_country_model_groupedPL,0.1371516378621691,0.9525633354759744,0.14398164694596138,0.8855149622333827
f_country_model_groupedDE,-0.5910600634955916,0.8857404583756977,-0.6673061593906396,0.5045765928512463
f_country_model_groupedOTHER_MODEL,-0.6131149035312231,0.917853365865456,-0.667987857682593,0.5041413433009606
f_country_model_groupedCH,0.03540993449536993,1.406819597491475,0.025170202745618566,0.9799192041876165
f_country_model_groupedGR,0.1442811054877805,1.114926278557289,0.12940865083427738,0.8970343028646297
f_country_model_groupedBE,-1.0367283592897412,1.063917718457257,-0.9744441147131735,0.3298360746035379
f_country_model_groupedIE,-2.4281129674757596,1.1202054563255184,-2.1675603825751932,0.0301921507998564
f_country_model_groupedNL,0.04180932671139357,1.0662890959516405,0.03921012309900781,0.9687228627784791
f_country_model_groupedSE,-0.2315202172904362,1.1924725327305576,-0.1941514046954982,0.8460573321996347
f_country_model_groupedRO,-0.45601539836082466,1.029806831367664,-0.4428164433083052,0.6578985086969473
f_employment_modelUNKNOWN_MODEL,0.7739334466535601,0.3766259160729539,2.054912882053624,0.03988741998766726
f_employment_modelEMPLOYED,0.8616519542780571,0.335299741832794,2.569796056412541,0.010175840136794189
f_employment_modelUNEMPLOYED,0.38823641629753713,0.4557162216665197,0.8519258210247289,0.39425526449052256
f_employment_modelSTUDENT,0.7570215865324078,0.4755384642163043,1.5919250355068388,0.11140154950179698
f_employment_modelOTHER,0.6913232145511687,0.8821085061132802,0.783716753392682,0.4332063298711762
f_employment_modelRETIRED,16.109099931991683,566.6824988909273,0.02842702918039524,0.9773215667404207
