bootstrap_id,n_draws,n_in_clustering_matrix,n_lost_if_join_with_matrix,prop_in_clustering_matrix
1,1000,1000,0,1
2,1000,1000,0,1
3,1000,1000,0,1
4,1000,1000,0,1
5,1000,1000,0,1
6,1000,1000,0,1
7,1000,1000,0,1
8,1000,1000,0,1
9,1000,1000,0,1
10,1000,1000,0,1
11,1000,1000,0,1
12,1000,1000,0,1
13,1000,1000,0,1
14,1000,1000,0,1
15,1000,1000,0,1
16,1000,1000,0,1
17,1000,1000,0,1
18,1000,1000,0,1
19,1000,1000,0,1
20,1000,1000,0,1
21,1000,1000,0,1
22,1000,1000,0,1
23,1000,1000,0,1
24,1000,1000,0,1
25,1000,1000,0,1
26,1000,1000,0,1
27,1000,1000,0,1
28,1000,1000,0,1
29,1000,1000,0,1
30,1000,1000,0,1
31,1000,1000,0,1
32,1000,1000,0,1
33,1000,1000,0,1
34,1000,1000,0,1
35,1000,1000,0,1
36,1000,1000,0,1
37,1000,1000,0,1
38,1000,1000,0,1
39,1000,1000,0,1
40,1000,1000,0,1
41,1000,1000,0,1
42,1000,1000,0,1
43,1000,1000,0,1
44,1000,1000,0,1
45,1000,1000,0,1
46,1000,1000,0,1
47,1000,1000,0,1
48,1000,1000,0,1
49,1000,1000,0,1
50,1000,1000,0,1
51,1000,1000,0,1
52,1000,1000,0,1
53,1000,1000,0,1
54,1000,1000,0,1
55,1000,1000,0,1
56,1000,1000,0,1
57,1000,1000,0,1
58,1000,1000,0,1
59,1000,1000,0,1
60,1000,1000,0,1
61,1000,1000,0,1
62,1000,1000,0,1
63,1000,1000,0,1
64,1000,1000,0,1
65,1000,1000,0,1
66,1000,1000,0,1
67,1000,1000,0,1
68,1000,1000,0,1
69,1000,1000,0,1
70,1000,1000,0,1
71,1000,1000,0,1
72,1000,1000,0,1
73,1000,1000,0,1
74,1000,1000,0,1
75,1000,1000,0,1
76,1000,1000,0,1
77,1000,1000,0,1
78,1000,1000,0,1
79,1000,1000,0,1
80,1000,1000,0,1
81,1000,1000,0,1
82,1000,1000,0,1
83,1000,1000,0,1
84,1000,1000,0,1
85,1000,1000,0,1
86,1000,1000,0,1
87,1000,1000,0,1
88,1000,1000,0,1
89,1000,1000,0,1
90,1000,1000,0,1
91,1000,1000,0,1
92,1000,1000,0,1
93,1000,1000,0,1
94,1000,1000,0,1
95,1000,1000,0,1
96,1000,1000,0,1
97,1000,1000,0,1
98,1000,1000,0,1
99,1000,1000,0,1
100,1000,1000,0,1
101,1000,1000,0,1
102,1000,1000,0,1
103,1000,1000,0,1
104,1000,1000,0,1
105,1000,1000,0,1
106,1000,1000,0,1
107,1000,1000,0,1
108,1000,1000,0,1
109,1000,1000,0,1
110,1000,1000,0,1
111,1000,1000,0,1
112,1000,1000,0,1
113,1000,1000,0,1
114,1000,1000,0,1
115,1000,1000,0,1
116,1000,1000,0,1
117,1000,1000,0,1
118,1000,1000,0,1
119,1000,1000,0,1
120,1000,1000,0,1
121,1000,1000,0,1
122,1000,1000,0,1
123,1000,1000,0,1
124,1000,1000,0,1
125,1000,1000,0,1
126,1000,1000,0,1
127,1000,1000,0,1
128,1000,1000,0,1
129,1000,1000,0,1
130,1000,1000,0,1
131,1000,1000,0,1
132,1000,1000,0,1
133,1000,1000,0,1
134,1000,1000,0,1
135,1000,1000,0,1
136,1000,1000,0,1
137,1000,1000,0,1
138,1000,1000,0,1
139,1000,1000,0,1
140,1000,1000,0,1
141,1000,1000,0,1
142,1000,1000,0,1
143,1000,1000,0,1
144,1000,1000,0,1
145,1000,1000,0,1
146,1000,1000,0,1
147,1000,1000,0,1
148,1000,1000,0,1
149,1000,1000,0,1
150,1000,1000,0,1
151,1000,1000,0,1
152,1000,1000,0,1
153,1000,1000,0,1
154,1000,1000,0,1
155,1000,1000,0,1
156,1000,1000,0,1
157,1000,1000,0,1
158,1000,1000,0,1
159,1000,1000,0,1
160,1000,1000,0,1
161,1000,1000,0,1
162,1000,1000,0,1
163,1000,1000,0,1
164,1000,1000,0,1
165,1000,1000,0,1
166,1000,1000,0,1
167,1000,1000,0,1
168,1000,1000,0,1
169,1000,1000,0,1
170,1000,1000,0,1
171,1000,1000,0,1
172,1000,1000,0,1
173,1000,1000,0,1
174,1000,1000,0,1
175,1000,1000,0,1
176,1000,1000,0,1
177,1000,1000,0,1
178,1000,1000,0,1
179,1000,1000,0,1
180,1000,1000,0,1
181,1000,1000,0,1
182,1000,1000,0,1
183,1000,1000,0,1
184,1000,1000,0,1
185,1000,1000,0,1
186,1000,1000,0,1
187,1000,1000,0,1
188,1000,1000,0,1
189,1000,1000,0,1
190,1000,1000,0,1
191,1000,1000,0,1
192,1000,1000,0,1
193,1000,1000,0,1
194,1000,1000,0,1
195,1000,1000,0,1
196,1000,1000,0,1
197,1000,1000,0,1
198,1000,1000,0,1
199,1000,1000,0,1
200,1000,1000,0,1
201,1000,1000,0,1
202,1000,1000,0,1
203,1000,1000,0,1
204,1000,1000,0,1
205,1000,1000,0,1
206,1000,1000,0,1
207,1000,1000,0,1
208,1000,1000,0,1
209,1000,1000,0,1
210,1000,1000,0,1
211,1000,1000,0,1
212,1000,1000,0,1
213,1000,1000,0,1
214,1000,1000,0,1
215,1000,1000,0,1
216,1000,1000,0,1
217,1000,1000,0,1
218,1000,1000,0,1
219,1000,1000,0,1
220,1000,1000,0,1
221,1000,1000,0,1
222,1000,1000,0,1
223,1000,1000,0,1
224,1000,1000,0,1
225,1000,1000,0,1
226,1000,1000,0,1
227,1000,1000,0,1
228,1000,1000,0,1
229,1000,1000,0,1
230,1000,1000,0,1
231,1000,1000,0,1
232,1000,1000,0,1
233,1000,1000,0,1
234,1000,1000,0,1
235,1000,1000,0,1
236,1000,1000,0,1
237,1000,1000,0,1
238,1000,1000,0,1
239,1000,1000,0,1
240,1000,1000,0,1
241,1000,1000,0,1
242,1000,1000,0,1
243,1000,1000,0,1
244,1000,1000,0,1
245,1000,1000,0,1
246,1000,1000,0,1
247,1000,1000,0,1
248,1000,1000,0,1
249,1000,1000,0,1
250,1000,1000,0,1
251,1000,1000,0,1
252,1000,1000,0,1
253,1000,1000,0,1
254,1000,1000,0,1
255,1000,1000,0,1
256,1000,1000,0,1
257,1000,1000,0,1
258,1000,1000,0,1
259,1000,1000,0,1
260,1000,1000,0,1
261,1000,1000,0,1
262,1000,1000,0,1
263,1000,1000,0,1
264,1000,1000,0,1
265,1000,1000,0,1
266,1000,1000,0,1
267,1000,1000,0,1
268,1000,1000,0,1
269,1000,1000,0,1
270,1000,1000,0,1
271,1000,1000,0,1
272,1000,1000,0,1
273,1000,1000,0,1
274,1000,1000,0,1
275,1000,1000,0,1
276,1000,1000,0,1
277,1000,1000,0,1
278,1000,1000,0,1
279,1000,1000,0,1
280,1000,1000,0,1
281,1000,1000,0,1
282,1000,1000,0,1
283,1000,1000,0,1
284,1000,1000,0,1
285,1000,1000,0,1
286,1000,1000,0,1
287,1000,1000,0,1
288,1000,1000,0,1
289,1000,1000,0,1
290,1000,1000,0,1
291,1000,1000,0,1
292,1000,1000,0,1
293,1000,1000,0,1
294,1000,1000,0,1
295,1000,1000,0,1
296,1000,1000,0,1
297,1000,1000,0,1
298,1000,1000,0,1
299,1000,1000,0,1
300,1000,1000,0,1
301,1000,1000,0,1
302,1000,1000,0,1
303,1000,1000,0,1
304,1000,1000,0,1
305,1000,1000,0,1
306,1000,1000,0,1
307,1000,1000,0,1
308,1000,1000,0,1
309,1000,1000,0,1
310,1000,1000,0,1
311,1000,1000,0,1
312,1000,1000,0,1
313,1000,1000,0,1
314,1000,1000,0,1
315,1000,1000,0,1
316,1000,1000,0,1
317,1000,1000,0,1
318,1000,1000,0,1
319,1000,1000,0,1
320,1000,1000,0,1
321,1000,1000,0,1
322,1000,1000,0,1
323,1000,1000,0,1
324,1000,1000,0,1
325,1000,1000,0,1
326,1000,1000,0,1
327,1000,1000,0,1
328,1000,1000,0,1
329,1000,1000,0,1
330,1000,1000,0,1
331,1000,1000,0,1
332,1000,1000,0,1
333,1000,1000,0,1
334,1000,1000,0,1
335,1000,1000,0,1
336,1000,1000,0,1
337,1000,1000,0,1
338,1000,1000,0,1
339,1000,1000,0,1
340,1000,1000,0,1
341,1000,1000,0,1
342,1000,1000,0,1
343,1000,1000,0,1
344,1000,1000,0,1
345,1000,1000,0,1
346,1000,1000,0,1
347,1000,1000,0,1
348,1000,1000,0,1
349,1000,1000,0,1
350,1000,1000,0,1
351,1000,1000,0,1
352,1000,1000,0,1
353,1000,1000,0,1
354,1000,1000,0,1
355,1000,1000,0,1
356,1000,1000,0,1
357,1000,1000,0,1
358,1000,1000,0,1
359,1000,1000,0,1
360,1000,1000,0,1
361,1000,1000,0,1
362,1000,1000,0,1
363,1000,1000,0,1
364,1000,1000,0,1
365,1000,1000,0,1
366,1000,1000,0,1
367,1000,1000,0,1
368,1000,1000,0,1
369,1000,1000,0,1
370,1000,1000,0,1
371,1000,1000,0,1
372,1000,1000,0,1
373,1000,1000,0,1
374,1000,1000,0,1
375,1000,1000,0,1
376,1000,1000,0,1
377,1000,1000,0,1
378,1000,1000,0,1
379,1000,1000,0,1
380,1000,1000,0,1
381,1000,1000,0,1
382,1000,1000,0,1
383,1000,1000,0,1
384,1000,1000,0,1
385,1000,1000,0,1
386,1000,1000,0,1
387,1000,1000,0,1
388,1000,1000,0,1
389,1000,1000,0,1
390,1000,1000,0,1
391,1000,1000,0,1
392,1000,1000,0,1
393,1000,1000,0,1
394,1000,1000,0,1
395,1000,1000,0,1
396,1000,1000,0,1
397,1000,1000,0,1
398,1000,1000,0,1
399,1000,1000,0,1
400,1000,1000,0,1
401,1000,1000,0,1
402,1000,1000,0,1
403,1000,1000,0,1
404,1000,1000,0,1
405,1000,1000,0,1
406,1000,1000,0,1
407,1000,1000,0,1
408,1000,1000,0,1
409,1000,1000,0,1
410,1000,1000,0,1
411,1000,1000,0,1
412,1000,1000,0,1
413,1000,1000,0,1
414,1000,1000,0,1
415,1000,1000,0,1
416,1000,1000,0,1
417,1000,1000,0,1
418,1000,1000,0,1
419,1000,1000,0,1
420,1000,1000,0,1
421,1000,1000,0,1
422,1000,1000,0,1
423,1000,1000,0,1
424,1000,1000,0,1
425,1000,1000,0,1
426,1000,1000,0,1
427,1000,1000,0,1
428,1000,1000,0,1
429,1000,1000,0,1
430,1000,1000,0,1
431,1000,1000,0,1
432,1000,1000,0,1
433,1000,1000,0,1
434,1000,1000,0,1
435,1000,1000,0,1
436,1000,1000,0,1
437,1000,1000,0,1
438,1000,1000,0,1
439,1000,1000,0,1
440,1000,1000,0,1
441,1000,1000,0,1
442,1000,1000,0,1
443,1000,1000,0,1
444,1000,1000,0,1
445,1000,1000,0,1
446,1000,1000,0,1
447,1000,1000,0,1
448,1000,1000,0,1
449,1000,1000,0,1
450,1000,1000,0,1
451,1000,1000,0,1
452,1000,1000,0,1
453,1000,1000,0,1
454,1000,1000,0,1
455,1000,1000,0,1
456,1000,1000,0,1
457,1000,1000,0,1
458,1000,1000,0,1
459,1000,1000,0,1
460,1000,1000,0,1
461,1000,1000,0,1
462,1000,1000,0,1
463,1000,1000,0,1
464,1000,1000,0,1
465,1000,1000,0,1
466,1000,1000,0,1
467,1000,1000,0,1
468,1000,1000,0,1
469,1000,1000,0,1
470,1000,1000,0,1
471,1000,1000,0,1
472,1000,1000,0,1
473,1000,1000,0,1
474,1000,1000,0,1
475,1000,1000,0,1
476,1000,1000,0,1
477,1000,1000,0,1
478,1000,1000,0,1
479,1000,1000,0,1
480,1000,1000,0,1
481,1000,1000,0,1
482,1000,1000,0,1
483,1000,1000,0,1
484,1000,1000,0,1
485,1000,1000,0,1
486,1000,1000,0,1
487,1000,1000,0,1
488,1000,1000,0,1
489,1000,1000,0,1
490,1000,1000,0,1
491,1000,1000,0,1
492,1000,1000,0,1
493,1000,1000,0,1
494,1000,1000,0,1
495,1000,1000,0,1
496,1000,1000,0,1
497,1000,1000,0,1
498,1000,1000,0,1
499,1000,1000,0,1
500,1000,1000,0,1
501,1000,1000,0,1
502,1000,1000,0,1
503,1000,1000,0,1
504,1000,1000,0,1
505,1000,1000,0,1
506,1000,1000,0,1
507,1000,1000,0,1
508,1000,1000,0,1
509,1000,1000,0,1
510,1000,1000,0,1
511,1000,1000,0,1
512,1000,1000,0,1
513,1000,1000,0,1
514,1000,1000,0,1
515,1000,1000,0,1
516,1000,1000,0,1
517,1000,1000,0,1
518,1000,1000,0,1
519,1000,1000,0,1
520,1000,1000,0,1
521,1000,1000,0,1
522,1000,1000,0,1
523,1000,1000,0,1
524,1000,1000,0,1
525,1000,1000,0,1
526,1000,1000,0,1
527,1000,1000,0,1
528,1000,1000,0,1
