"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",7735483,96.6935375
2,"Activist",6188736,77.3592
3,"Early.Adopter",4689224,58.6153
4,"Homo.Economicus",3061143,38.2642875
5,"Fearful",2770548,34.63185
6,"Influencer",2660238,33.252975
7,"Uninterested",257847,3.2230875
8,"Careful",0,0
