matrix_name,bootstrap_id,n_factors,factor_a,factor_b,correlation,abs_correlation,correlation_distance
matrix_32_raw_0_1,1,4,MR3,MR1,-0.09052438478053203,0.09052438478053203,0.909475615219468
matrix_32_raw_0_1,1,4,MR3,MR4,0.10275104238477355,0.10275104238477355,0.8972489576152265
matrix_32_raw_0_1,1,4,MR1,MR4,0.08262482677751191,0.08262482677751191,0.9173751732224881
matrix_32_raw_0_1,1,4,MR3,MR2,0.06833322091284828,0.06833322091284828,0.9316667790871517
matrix_32_raw_0_1,1,4,MR1,MR2,0.2525691086165614,0.2525691086165614,0.7474308913834387
matrix_32_raw_0_1,1,4,MR4,MR2,0.14102161445604644,0.14102161445604644,0.8589783855439536
matrix_32_raw_0_1,2,4,MR1,MR4,0.014296443252360513,0.014296443252360513,0.9857035567476395
matrix_32_raw_0_1,2,4,MR1,MR3,0.08468567635880601,0.08468567635880601,0.915314323641194
matrix_32_raw_0_1,2,4,MR4,MR3,0.1105673651641755,0.1105673651641755,0.8894326348358245
matrix_32_raw_0_1,2,4,MR1,MR2,0.1976094904998507,0.1976094904998507,0.8023905095001493
matrix_32_raw_0_1,2,4,MR4,MR2,0.011542419521286084,0.011542419521286084,0.9884575804787139
matrix_32_raw_0_1,2,4,MR3,MR2,0.13682908992609244,0.13682908992609244,0.8631709100739076
matrix_32_raw_0_1,3,4,MR4,MR3,-7.136021993513634e-4,7.136021993513634e-4,0.9992863978006487
matrix_32_raw_0_1,3,4,MR4,MR2,0.13322677778084702,0.13322677778084702,0.866773222219153
matrix_32_raw_0_1,3,4,MR3,MR2,0.08244013399879307,0.08244013399879307,0.917559866001207
matrix_32_raw_0_1,3,4,MR4,MR1,0.06416366453123244,0.06416366453123244,0.9358363354687675
matrix_32_raw_0_1,3,4,MR3,MR1,0.12244975013895444,0.12244975013895444,0.8775502498610456
matrix_32_raw_0_1,3,4,MR2,MR1,0.03778152831560049,0.03778152831560049,0.9622184716843996
matrix_32_raw_0_1,4,4,MR1,MR2,-0.01748489903682728,0.01748489903682728,0.9825151009631727
