analysis_sample,mean_n,sd_n,min_n,max_n,n_bootstraps
COMPLETE,1608,0,1608,1608,100
DIEGO,251.22,10.64636325254077,223,280,100
EUROPE,1000,0,1000,1000,100
LATAM,608,0,608,608,100
RENOVISOR,610.49,8.027094270297468,588,628,100
WHY_EUROPE,138.29,9.71648084442099,113,167,100
WHY_LATAM,608,0,608,608,100
