matrix_name,bootstrap_id,n_factors,d_det,determinant,importance,importance_rank
matrix_32_raw_0_1,1,4,4,det_06_climate_protection,0.7081711657582044,1
matrix_32_raw_0_1,1,4,4,det_28_recognition,0.7022198031837172,2
matrix_32_raw_0_1,1,4,4,det_14_environmental_concerns,0.6727318502528231,3
matrix_32_raw_0_1,1,4,4,det_03_risk_profile,0.6269304863322978,4
matrix_32_raw_0_1,1,4,5,det_06_climate_protection,0.7081711657582044,1
matrix_32_raw_0_1,1,4,5,det_28_recognition,0.7022198031837172,2
matrix_32_raw_0_1,1,4,5,det_14_environmental_concerns,0.6727318502528231,3
matrix_32_raw_0_1,1,4,5,det_03_risk_profile,0.6269304863322978,4
matrix_32_raw_0_1,1,4,5,det_31_approval,0.5893976011901556,5
matrix_32_raw_0_1,1,4,6,det_06_climate_protection,0.7081711657582044,1
matrix_32_raw_0_1,1,4,6,det_28_recognition,0.7022198031837172,2
matrix_32_raw_0_1,1,4,6,det_14_environmental_concerns,0.6727318502528231,3
matrix_32_raw_0_1,1,4,6,det_03_risk_profile,0.6269304863322978,4
matrix_32_raw_0_1,1,4,6,det_31_approval,0.5893976011901556,5
matrix_32_raw_0_1,1,4,6,det_29_trends,0.5804595877741129,6
matrix_32_raw_0_1,1,4,7,det_06_climate_protection,0.7081711657582044,1
matrix_32_raw_0_1,1,4,7,det_28_recognition,0.7022198031837172,2
matrix_32_raw_0_1,1,4,7,det_14_environmental_concerns,0.6727318502528231,3
matrix_32_raw_0_1,1,4,7,det_03_risk_profile,0.6269304863322978,4
matrix_32_raw_0_1,1,4,7,det_31_approval,0.5893976011901556,5
matrix_32_raw_0_1,1,4,7,det_29_trends,0.5804595877741129,6
matrix_32_raw_0_1,1,4,7,det_30_authority,0.5728472727303836,7
matrix_32_raw_0_1,1,4,8,det_06_climate_protection,0.7081711657582044,1
matrix_32_raw_0_1,1,4,8,det_28_recognition,0.7022198031837172,2
matrix_32_raw_0_1,1,4,8,det_14_environmental_concerns,0.6727318502528231,3
matrix_32_raw_0_1,1,4,8,det_03_risk_profile,0.6269304863322978,4
matrix_32_raw_0_1,1,4,8,det_31_approval,0.5893976011901556,5
matrix_32_raw_0_1,1,4,8,det_29_trends,0.5804595877741129,6
matrix_32_raw_0_1,1,4,8,det_30_authority,0.5728472727303836,7
matrix_32_raw_0_1,1,4,8,det_01_profits,0.5633303738982968,8
