analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
COMPLETE,matrix_32_ext_0_1,2,det_28_recognition,0.673982113421038,0.021019369884319863,0.674547083051708,1.36,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_24_socialising,0.6563660684499544,0.021613302444180534,0.6578634637709557,1.87,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_31_approval,0.621055335104016,0.027283729449841084,0.622983712093707,3.23,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_30_authority,0.6007352464504742,0.023790134426521666,0.6000365296076705,4.05,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_15_self_satisfaction,0.5733038709390043,0.026875745163410902,0.5744387411134819,5.35,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_29_trends,0.540154338394845,0.02768297829367491,0.542443721236481,7.65,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_09_safety,0.5335774011346938,0.0221981118131173,0.5338149278764386,8.13,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_16_commitment,0.5278091400269055,0.025334221149954997,0.5306038718064658,8.74,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_19_wellbeing,0.526956742648757,0.026871322870562663,0.5299303425262372,8.77,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_03_risk_profile,0.5190024016058171,0.027616248924978458,0.5216279512210278,9.71,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_20_coziness,0.4956138044333623,0.02499724865580639,0.4966828839834424,12.44,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_22_peer_pressure,0.4936920127891195,0.031335455400272105,0.49711063478885775,12.86,1,1,0.99
COMPLETE,matrix_32_ext_0_1,2,det_12_own_competence,0.48492351573296116,0.026260343987797627,0.48365798832880436,13.55,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_13_technical_fit,0.48460643045886626,0.024807801338246022,0.4868233482374368,13.59,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_17_adherence,0.48251553662736335,0.026812690083968943,0.48110608806383404,14.03,1,1,1
COMPLETE,matrix_32_ext_0_1,2,det_10_cost_efficiency,0.47499734671272503,0.024875824178196608,0.47500127532643893,14.63,1,1,1
