parameter,value
bootstrap_file,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/04_2f_combine_eu_latam_bootstrap/bootstrap_samples_index.csv.gz
matrix_dir,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/05_clustering_matrices
analysis_samples,"COMPLETE, EUROPE, LATAM, DIEGO, RENOVISOR, WHY_EUROPE, WHY_LATAM"
matrices_to_run,"matrix_32_raw_0_1, matrix_32_pos_0_1, matrix_32_ext_0_1, matrix_32_z_abs"
n_factors_grid,"2, 3, 4, 5, 6, 7, 8"
d_det_grid,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
fa_method,minres
fa_rotation,oblimin
expected_n_bootstraps,1000
max_bootstraps,100
output_dir,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/07_efa_bootstrap
