analysis_sample,matrix_name,bootstrap_id,n_factors,status,warning_flag,warning_message,error_message
WHY_EUROPE,matrix_32_ext_0_1,36,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_EUROPE,matrix_32_ext_0_1,79,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_EUROPE,matrix_32_ext_0_1,91,7,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_EUROPE,matrix_32_ext_0_1,91,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_EUROPE,matrix_32_z_abs,8,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_EUROPE,matrix_32_z_abs,60,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_EUROPE,matrix_32_z_abs,85,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_LATAM,matrix_32_ext_0_1,33,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_LATAM,matrix_32_ext_0_1,69,7,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_LATAM,matrix_32_ext_0_1,69,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_LATAM,matrix_32_ext_0_1,94,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_LATAM,matrix_32_z_abs,2,7,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_LATAM,matrix_32_z_abs,2,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
WHY_LATAM,matrix_32_z_abs,63,8,ok_with_warning,TRUE,An ultra-Heywood case was detected.  Examine the results carefully,NA
