"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Homo.Economicus",0,"",0
"cluster_2","Uninterested",60,"COMPETENCE; AUTONOMY; PHYSICALNESS",3
"cluster_3","Early.Adopter",50,"STIMULATION; POPULARITY; MEANING",3
