"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Uninterested",60,"COMPETENCE; AUTONOMY; PHYSICALNESS",3
"cluster_2","Stubborn",33.3333333333333,"SECURITY; POPULARITY; MEANING",3
