"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,1,1,0.000125
5,15,39,0.004875
6,78,234,0.02925
7,195,938,0.11725
8,1160,86471,10.808875
9,1542,92600,11.575
10,5544,608831,76.103875
11,5936,621557,77.694625
12,12286,775157,96.894625
13,12404,776602,97.07525
14,16851,796400,99.55
15,16865,796473,99.559125
16,18367,799390,99.92375
17,18370,799398,99.92475
18,18636,799944,99.993
19,18637,799945,99.993125
20,18673,799999,99.999875
