"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,3,0.000375
3,31,4863,0.607875
4,61,5718,0.71475
5,604,189459,23.682375
6,804,199313,24.914125
7,3548,555614,69.45175
8,3930,564728,70.591
9,9699,758810,94.85125
10,9976,759749,94.968625
11,15331,793179,99.147375
12,15446,793422,99.17775
13,17889,798759,99.844875
14,17913,798809,99.851125
15,18490,799561,99.945125
16,18495,799568,99.946
17,18632,799882,99.98525
18,18639,799941,99.992625
19,18667,799990,99.99875
20,18667,799990,99.99875
