"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,8,46,0.00575
5,39,135,0.016875
6,114,394,0.04925
7,224,796,0.0995
8,387,1741,0.217625
9,630,3832,0.479
10,934,7835,0.979375
11,4005,33360,4.17
12,4355,43390,5.42375
13,10754,406348,50.7935
14,10883,412170,51.52125
15,15667,779883,97.485375
16,15677,779899,97.487375
17,17987,797706,99.71325
18,17989,797709,99.713625
19,18671,799997,99.999625
20,18671,799997,99.999625
