"cluster","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","X8"
"cluster_1",0,0,0,0,0,0,0,0
"cluster_2",25,37.5,60,42.8571428571429,11.1111111111111,37.5,22.2222222222222,25
"cluster_3",77.7777777777778,88.8888888888889,55.5555555555556,77.7777777777778,77.7777777777778,88.8888888888889,88.8888888888889,77.7777777777778
"cluster_4",42.8571428571429,22.2222222222222,14.2857142857143,25,42.8571428571429,37.5,37.5,42.8571428571429
"cluster_5",44.4444444444444,75,83.3333333333333,85.7142857142857,44.4444444444444,55.5555555555556,55.5555555555556,44.4444444444444
