"K","archetypes_used"
1,"Stubborn"
2,"Stubborn | Activist"
3,"Stubborn | Activist | Early.Adopter"
4,"Stubborn | Activist | Early.Adopter | Homo.Economicus"
5,"Stubborn | Activist | Early.Adopter | Homo.Economicus | Fearful"
6,"Stubborn | Activist | Early.Adopter | Homo.Economicus | Fearful | Influencer"
7,"Stubborn | Activist | Early.Adopter | Homo.Economicus | Fearful | Influencer | Uninterested"
8,"Stubborn | Activist | Early.Adopter | Homo.Economicus | Fearful | Influencer | Uninterested | Careful"
