"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,2,0.00025
3,6,124,0.0155
4,34,711,0.088875
5,126,2473,0.309125
6,338,6300,0.7875
7,698,12994,1.62425
8,1169,23359,2.919875
9,3839,341236,42.6545
10,4069,347257,43.407125
11,9931,663650,82.95625
12,9995,663918,82.98975
13,15540,784388,98.0485
14,15568,784428,98.0535
15,18034,798665,99.833125
16,18040,798678,99.83475
17,18617,799730,99.96625
18,18618,799731,99.966375
19,18662,799957,99.994625
20,18662,799957,99.994625
