"cluster","n_archetypes","total_frequency","freq_pct_total","freq_pct_rest"
1,2222,447391,55.923875,55.923875
2,1726,237475,29.684375,67.3479689968208
3,372,51543,6.442875,44.7678357392256
4,175,6736,0.842,10.5926939346763
5,452,9399,1.174875,16.5315275701346
6,831,14205,1.775625,29.9329905596763
7,1167,7606,0.95075,22.8745000150371
8,36,273,0.034125,1.06453499707545
