"archetype_id","frequency"
1,1
2,1
3,1
4,2
5,1
7,1
9,3
12,1
16,1
19,1
20,1
21,3
22,2
23,2
25,1
28,1
29,2
30,1
31,3
32,1
33,1
36,7
37,1
38,2
39,1
40,1
41,11
43,1
44,2
45,1
46,1
48,1
49,4
50,1
51,1
52,2
54,1
55,1
57,1
58,1
59,1
60,1
62,1
63,1
67,2
69,2
70,1
71,1
73,1
74,3
75,3
77,1
78,1
79,1
80,1
81,1
88,1
89,1
90,1
91,1
92,3
94,1
95,1
96,1
97,1
98,5
99,15
102,4
103,1
104,4
105,2
106,1
107,2
108,2
109,2
110,1
113,1
114,1
115,1
117,2
118,1
119,1
120,2
121,1
122,1
123,1
127,1
128,1
129,1
130,2
132,1
135,1
136,4
138,1
139,1
140,1
141,1
143,1
144,1
145,1
146,1
148,2
151,1
153,2
154,2
156,1
157,1
158,4
159,1
161,2
162,2
163,1
165,3
167,2
169,1
170,4
171,1
173,1
174,1
175,2
176,1
178,1
179,1
180,1
181,1
184,1
185,3
186,1
187,5
190,3
191,2
193,1
194,6
195,1
196,1
197,1
198,1
199,1
201,1
202,1
203,1
204,2
206,1
210,1
212,1
217,1
218,1
220,1
224,1
226,1
227,1
228,1
229,3
230,1
232,1
235,1
236,2
240,1
241,1
242,1
243,1
245,5
246,1
252,1
253,2
254,2
255,1
256,1
257,1
258,2
259,1
261,1
263,1
264,1
266,1
268,1
269,3
271,1
272,1
274,1
275,3
276,1
277,1
278,3
279,1
280,1
281,1
282,18
283,3
284,3
285,1
287,3
288,1
289,1
290,1
291,1
292,4
293,1
296,4
297,1
299,9
300,9
302,2
303,1
307,1
308,4
309,1
311,1
314,1
317,1
320,1
321,1
323,1
324,1
325,6
326,2
327,1
328,1
330,1
332,2
333,1
334,2
335,1
336,2
337,1
338,1
340,1
341,16
343,1
346,1
347,2
348,1
349,1
351,1
352,11
353,1
355,1
358,2
359,13
361,1
362,8
363,1
365,1
369,1
370,2
372,1
373,1
374,1
376,1
377,5
379,1
380,3
382,1
383,3
385,1
386,1
387,1
391,1
392,1
396,1
397,2
398,2
403,1
405,2
407,15
409,1
411,1
412,1
413,1
416,1
417,1
418,14
419,1
420,1
423,1
425,1
426,1
427,7
431,2
432,1
433,1
434,1
435,1
437,1
438,1
442,1
443,1
446,1
447,1
452,1
453,1
456,1
457,9
459,1
460,1
461,1
462,1
464,1
465,1
468,1
470,1
471,1
473,3
474,1
475,1
477,1
479,1
480,1
483,2
484,1
485,1
487,1
488,1
490,1
491,1
492,1
494,1
496,1
500,1
501,1
504,3
506,12
507,3
509,1
512,1
513,1
514,1
515,1
516,1
518,1
519,1
520,1
521,4
523,1
524,1
525,1
526,10
527,1
530,1
532,2
534,1
536,2
538,1
539,1
540,1
541,1
542,5
543,1
544,1
546,5
547,3
550,1
551,5
552,2
555,1
557,1
559,1
560,1
561,2
563,2
565,2
566,1
567,3
568,2
570,1
571,1
572,1
573,1
574,1
577,1
578,2
579,1
580,2
582,1
583,1
586,2
587,1
589,1
590,6
593,2
594,1
596,1
598,1
599,1
600,1
602,1
603,2
606,1
609,8
610,3
612,1
613,1
614,1
615,7
616,2
618,2
619,1
620,1
621,2
622,13
623,1
625,1
627,1
629,1
631,1
632,1
636,3
637,2
639,3
643,9
645,1
647,1
648,2
650,6
651,1
652,1
653,1
654,1
655,1
660,1
661,3
662,2
663,8
664,1
665,5
666,1
667,2
668,1
670,11
671,2
672,3
673,1
676,1
677,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
687,1
688,1
689,1
690,1
691,1
693,1
694,1
699,1
701,1
702,1
703,1
704,1
705,1
706,1
707,3
712,2
717,1
720,1
722,1
725,1
730,2
731,1
732,1
735,1
736,1
739,2
740,3
741,1
742,1
743,2
744,1
747,1
749,1
750,1
751,1
755,1
756,2
757,1
759,1
764,4
765,1
766,1
767,1
768,1
769,1
770,1
771,1
773,2
774,1
776,1
778,1
779,1
780,1
781,5
782,1
783,1
787,2
789,4
790,2
792,2
793,1
794,1
796,1
797,2
799,5
800,9
801,1
802,1
804,2
805,2
808,2
809,2
811,1
813,1
814,1
815,4
816,1
817,1
819,12
821,3
823,2
826,1
828,1
829,1
830,1
831,2
832,1
833,1
837,1
838,1
839,1
840,1
841,1
842,2
846,2
847,1
849,1
852,1
853,1
855,1
856,1
858,1
859,1
860,2
861,1
862,1
863,3
865,7
866,2
867,3
868,2
869,1
870,1
871,1
873,5
875,1
876,2
877,1
879,2
880,11
881,3
882,1
883,1
884,1
885,1
886,1
888,1
889,1
890,1
892,1
895,1
896,10
899,5
900,1
902,1
904,1
905,1
906,1
907,1
908,1
911,1
912,1
916,1
917,1
918,1
919,8
920,1
921,1
922,2
923,2
924,1
927,1
928,1
929,1
930,1
931,1
932,2
934,1
935,1
