analysis_sample,analysis_region,row_quality_final,n,prop
DIEGO,EUROPE,usable_complete,1857,0.9778830963665087
DIEGO,EUROPE,usable_complete_limited_metadata,42,0.022116903633491312
POOLED_ALL,ALL,usable_complete,4061,0.8538687973086627
POOLED_ALL,ALL,usable_complete_limited_metadata,320,0.0672834314550042
POOLED_ALL,ALL,no_determinants,294,0.06181665264928511
POOLED_ALL,ALL,too_many_missing_determinants,75,0.01576955424726661
POOLED_ALL,ALL,suspicious_determinants,6,0.001261564339781329
RENOVISOR,EUROPE,usable_complete,763,0.6208299430431244
RENOVISOR,EUROPE,no_determinants,274,0.2229454841334418
RENOVISOR,EUROPE,usable_complete_limited_metadata,137,0.1114727420667209
RENOVISOR,EUROPE,too_many_missing_determinants,54,0.043938161106590726
RENOVISOR,EUROPE,suspicious_determinants,1,8.136696501220504e-4
WHY_EUROPE,EUROPE,usable_complete,971,0.9808080808080808
WHY_EUROPE,EUROPE,no_determinants,9,0.00909090909090909
WHY_EUROPE,EUROPE,too_many_missing_determinants,8,0.00808080808080808
WHY_EUROPE,EUROPE,suspicious_determinants,1,0.00101010101010101
WHY_EUROPE,EUROPE,usable_complete_limited_metadata,1,0.00101010101010101
WHY_LATAM,LATAM,usable_complete,470,0.7366771159874608
WHY_LATAM,LATAM,usable_complete_limited_metadata,140,0.219435736677116
WHY_LATAM,LATAM,too_many_missing_determinants,13,0.02037617554858934
WHY_LATAM,LATAM,no_determinants,11,0.017241379310344827
WHY_LATAM,LATAM,suspicious_determinants,4,0.006269592476489028
