analysis_sample,analysis_region,n_rows,variable,n_valid,prop_valid
DIEGO,EUROPE,1899,age_group_model,1899,1
POOLED_ALL,ALL,4756,age_group_model,4374,0.9196804037005887
RENOVISOR,EUROPE,1229,age_group_model,1014,0.8250610252237591
WHY_EUROPE,EUROPE,990,age_group_model,988,0.997979797979798
WHY_LATAM,LATAM,638,age_group_model,473,0.7413793103448276
DIEGO,EUROPE,1899,city_size_model,0,0
POOLED_ALL,ALL,4756,city_size_model,1120,0.23549201009251472
RENOVISOR,EUROPE,1229,city_size_model,1120,0.9113100081366965
WHY_EUROPE,EUROPE,990,city_size_model,0,0
WHY_LATAM,LATAM,638,city_size_model,0,0
DIEGO,EUROPE,1899,country_model_grouped,1899,1
POOLED_ALL,ALL,4756,country_model_grouped,4640,0.975609756097561
RENOVISOR,EUROPE,1229,country_model_grouped,1113,0.9056143205858421
WHY_EUROPE,EUROPE,990,country_model_grouped,990,1
WHY_LATAM,LATAM,638,country_model_grouped,638,1
DIEGO,EUROPE,1899,education_model,1883,0.9915745129015271
POOLED_ALL,ALL,4756,education_model,2912,0.6122792262405383
RENOVISOR,EUROPE,1229,education_model,871,0.708706265256306
WHY_EUROPE,EUROPE,990,education_model,2,0.00202020202020202
WHY_LATAM,LATAM,638,education_model,156,0.2445141065830721
DIEGO,EUROPE,1899,employment_model,1874,0.9868351764086362
POOLED_ALL,ALL,4756,employment_model,3922,0.8246425567703953
RENOVISOR,EUROPE,1229,employment_model,885,0.7200976403580146
WHY_EUROPE,EUROPE,990,employment_model,774,0.7818181818181819
WHY_LATAM,LATAM,638,employment_model,389,0.609717868338558
DIEGO,EUROPE,1899,gender_model,1857,0.9778830963665087
POOLED_ALL,ALL,4756,gender_model,4416,0.928511354079058
RENOVISOR,EUROPE,1229,gender_model,1098,0.8934092758340114
WHY_EUROPE,EUROPE,990,gender_model,988,0.997979797979798
WHY_LATAM,LATAM,638,gender_model,473,0.7413793103448276
DIEGO,EUROPE,1899,income_model,1764,0.9289099526066351
POOLED_ALL,ALL,4756,income_model,1764,0.3708999158957107
RENOVISOR,EUROPE,1229,income_model,0,0
WHY_EUROPE,EUROPE,990,income_model,0,0
WHY_LATAM,LATAM,638,income_model,0,0
DIEGO,EUROPE,1899,language_model,0,0
POOLED_ALL,ALL,4756,language_model,1784,0.37510513036164844
RENOVISOR,EUROPE,1229,language_model,156,0.12693246541903988
WHY_EUROPE,EUROPE,990,language_model,990,1
WHY_LATAM,LATAM,638,language_model,638,1
DIEGO,EUROPE,1899,student_status_model,0,0
POOLED_ALL,ALL,4756,student_status_model,1359,0.285744322960471
RENOVISOR,EUROPE,1229,student_status_model,0,0
WHY_EUROPE,EUROPE,990,student_status_model,939,0.9484848484848485
WHY_LATAM,LATAM,638,student_status_model,420,0.658307210031348
DIEGO,EUROPE,1899,vote_status_declared,0,0
POOLED_ALL,ALL,4756,vote_status_declared,1101,0.23149705634987383
RENOVISOR,EUROPE,1229,vote_status_declared,1101,0.8958502847843776
WHY_EUROPE,EUROPE,990,vote_status_declared,0,0
WHY_LATAM,LATAM,638,vote_status_declared,0,0
DIEGO,EUROPE,1899,voted_observed,0,0
POOLED_ALL,ALL,4756,voted_observed,626,0.13162321278385197
RENOVISOR,EUROPE,1229,voted_observed,626,0.5093572009764036
WHY_EUROPE,EUROPE,990,voted_observed,0,0
WHY_LATAM,LATAM,638,voted_observed,0,0
