comparison_region,subsample,dataset_source,n_rows,prop_total
EUROPE,DIEGO,diego,1899,0.3992851135407906
EUROPE,RENOVISOR,rv,1229,0.25841042893187555
EUROPE,WHY_EUROPE,why,990,0.20815811606391926
LATAM,WHY_LATAM,why,638,0.13414634146341464
