analysis_sample,analysis_region,variable,value,n,prop
DIEGO,EUROPE,age_group_model,18_39,1276,0.6719325961032122
DIEGO,EUROPE,age_group_model,40_59,556,0.2927856766719326
DIEGO,EUROPE,age_group_model,60_plus,67,0.03528172722485519
DIEGO,EUROPE,age_model,NA,1899,1
DIEGO,EUROPE,city_size_model,unknown,1899,1
DIEGO,EUROPE,country_birth_model,NA,1899,1
DIEGO,EUROPE,country_model,IT,499,0.26276987888362296
DIEGO,EUROPE,country_model,DE,474,0.24960505529225907
DIEGO,EUROPE,country_model,ES,373,0.196419167983149
DIEGO,EUROPE,country_model,NL,276,0.14533965244865718
DIEGO,EUROPE,country_model,GR,189,0.0995260663507109
DIEGO,EUROPE,country_model,BE,86,0.04528699315429173
DIEGO,EUROPE,country_model,OTHER_EU,2,0.00105318588730911
DIEGO,EUROPE,country_model_grouped,IT,499,0.26276987888362296
DIEGO,EUROPE,country_model_grouped,DE,474,0.24960505529225907
DIEGO,EUROPE,country_model_grouped,ES,373,0.196419167983149
DIEGO,EUROPE,country_model_grouped,NL,276,0.14533965244865718
DIEGO,EUROPE,country_model_grouped,GR,189,0.0995260663507109
DIEGO,EUROPE,country_model_grouped,BE,86,0.04528699315429173
DIEGO,EUROPE,country_model_grouped,OTHER_COUNTRIES,2,0.00105318588730911
DIEGO,EUROPE,country_region_model,southern_europe,1061,0.5587151132174829
DIEGO,EUROPE,country_region_model,western_europe,836,0.440231700895208
DIEGO,EUROPE,country_region_model,other_region,2,0.00105318588730911
DIEGO,EUROPE,education_model,high,1307,0.6882569773565034
DIEGO,EUROPE,education_model,medium,576,0.3033175355450237
DIEGO,EUROPE,education_model,other,16,0.00842548709847288
DIEGO,EUROPE,employment_model,employed,1079,0.5681937862032649
DIEGO,EUROPE,employment_model,student,426,0.22432859399684044
DIEGO,EUROPE,employment_model,self_employed,205,0.10795155344918378
DIEGO,EUROPE,employment_model,unemployed,132,0.06951026856240126
DIEGO,EUROPE,employment_model,retired,32,0.01685097419694576
DIEGO,EUROPE,employment_model,other,25,0.013164823591363875
DIEGO,EUROPE,ethnicity_model,unknown,1899,1
DIEGO,EUROPE,gender_model,male,1002,0.5276461295418642
DIEGO,EUROPE,gender_model,female,855,0.45023696682464454
DIEGO,EUROPE,gender_model,other,39,0.020537124802527645
DIEGO,EUROPE,gender_model,unknown,3,0.001579778830963665
DIEGO,EUROPE,income_model,medium,814,0.4286466561348078
DIEGO,EUROPE,income_model,low,543,0.2859399684044234
