analysis_sample,analysis_region,n_rows,n_with_any_det,prop_with_any_det,n_complete_32det,prop_complete_32det,n_usable_for_clustering,prop_usable_for_clustering,mean_n_det_valid,min_n_det_valid,max_n_det_valid,n_rows_out_of_range
DIEGO,EUROPE,1899,1899,1,1899,1,1899,1,32,32,32,0
POOLED_ALL,ALL,4756,4462,0.9381833473507148,3790,0.796888141295206,4372,0.9192598822539949,29.480235492009975,0,32,0
RENOVISOR,EUROPE,1229,955,0.7770545158665582,599,0.4873881204231082,894,0.7274206672091131,23.589096826688397,0,32,0
WHY_EUROPE,EUROPE,990,981,0.990909090909091,808,0.8161616161616162,971,0.9808080808080808,31.235353535353532,0,32,0
WHY_LATAM,LATAM,638,627,0.9827586206896551,484,0.7586206896551724,608,0.9529780564263323,30.605015673981185,0,32,0
