phase_prefix,dimension,n_selected,prop_selected_total
phase_implemented_reasons,FINANCIAL,549,0.13331714424477903
phase_implemented_reasons,MEANING,299,0.07260806216610005
phase_implemented_reasons,AUTONOMY,267,0.06483729966002914
phase_implemented_reasons,PHYSIOLOGICAL,229,0.055609519184069936
phase_implemented_reasons,SECURITY,186,0.045167557066537155
phase_implemented_reasons,COMPETENCE,168,0.04079650315687227
phase_implemented_reasons,STIMULATION,89,0.021612433220009712
phase_implemented_reasons,POPULARITY,48,0.011656143759106362
phase_implemented_reasons,RELATEDNESS,46,0.011170471102476931
phase_more_likely_1,FINANCIAL,622,0.15104419621175327
phase_more_likely_1,AUTONOMY,294,0.07139388052452647
phase_more_likely_1,MEANING,293,0.07115104419621175
phase_more_likely_1,SECURITY,246,0.05973773676542011
phase_more_likely_1,PHYSIOLOGICAL,210,0.05099562894609033
phase_more_likely_1,COMPETENCE,191,0.046381738708110735
phase_more_likely_1,STIMULATION,111,0.026954832442933462
phase_more_likely_1,POPULARITY,47,0.011413307430791646
phase_more_likely_1,RELATEDNESS,46,0.011170471102476931
phase_more_likely_2,FINANCIAL,455,0.11049052938319573
phase_more_likely_2,AUTONOMY,228,0.055366682855755224
phase_more_likely_2,MEANING,219,0.053181155900922775
phase_more_likely_2,SECURITY,208,0.0505099562894609
phase_more_likely_2,COMPETENCE,163,0.03958232151529869
phase_more_likely_2,PHYSIOLOGICAL,153,0.03715395823215153
phase_more_likely_2,STIMULATION,87,0.02112676056338028
phase_more_likely_2,RELATEDNESS,55,0.013355998057309373
phase_more_likely_2,POPULARITY,26,0.006313744536182613
