subsample,dataset_source,source_survey,n_rows,prop_within_subsample
DIEGO,diego,Survey_September2023_cleaned,1899,1
RENOVISOR,rv,decision,902,0.7339300244100895
RENOVISOR,rv,energy_crisis,107,0.0870626525630594
RENOVISOR,rv,concerns2,100,0.08136696501220504
RENOVISOR,rv,poverty,38,0.030919446704637917
RENOVISOR,rv,concerns2;decision,16,0.013018714401952807
RENOVISOR,rv,concerns2;energy_crisis;poverty,14,0.011391375101708706
RENOVISOR,rv,concerns2;decision;poverty,12,0.009764035801464606
RENOVISOR,rv,concerns2;decision;energy_crisis;poverty,10,0.008136696501220505
RENOVISOR,rv,decision;energy_crisis,10,0.008136696501220505
RENOVISOR,rv,decision;energy_crisis;poverty,7,0.005695687550854353
RENOVISOR,rv,concerns2;energy_crisis,4,0.0032546786004882017
RENOVISOR,rv,concerns2;poverty,4,0.0032546786004882017
RENOVISOR,rv,energy_crisis;poverty,4,0.0032546786004882017
RENOVISOR,rv,decision;poverty,1,8.136696501220504e-4
WHY_EUROPE,why,Investment_Arquetypes_2022,990,1
WHY_LATAM,why,Investment_Arquetypes_2022,638,1
