analysis_sample,analysis_region,phase_prefix,dimension,n_rows_sample,n_selected,prop_selected_sample
WHY_EUROPE,EUROPE,phase_implemented_reasons,AUTONOMY,990,0,0
WHY_EUROPE,EUROPE,phase_implemented_reasons,PHYSIOLOGICAL,990,0,0
WHY_EUROPE,EUROPE,phase_implemented_reasons,RELATEDNESS,990,0,0
WHY_EUROPE,EUROPE,phase_implemented_reasons,STIMULATION,990,0,0
WHY_EUROPE,EUROPE,phase_implemented_reasons,POPULARITY,990,0,0
WHY_EUROPE,EUROPE,phase_implemented_reasons,MEANING,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,FINANCIAL,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,SECURITY,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,COMPETENCE,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,AUTONOMY,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,PHYSIOLOGICAL,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,RELATEDNESS,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,STIMULATION,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,POPULARITY,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_1,MEANING,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,FINANCIAL,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,SECURITY,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,COMPETENCE,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,AUTONOMY,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,PHYSIOLOGICAL,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,RELATEDNESS,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,STIMULATION,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,POPULARITY,990,0,0
WHY_EUROPE,EUROPE,phase_more_likely_2,MEANING,990,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,FINANCIAL,638,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,SECURITY,638,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,COMPETENCE,638,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,AUTONOMY,638,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,PHYSIOLOGICAL,638,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,RELATEDNESS,638,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,STIMULATION,638,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,POPULARITY,638,0,0
WHY_LATAM,LATAM,phase_implemented_reasons,MEANING,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,FINANCIAL,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,SECURITY,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,COMPETENCE,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,AUTONOMY,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,PHYSIOLOGICAL,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,RELATEDNESS,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,STIMULATION,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,POPULARITY,638,0,0
WHY_LATAM,LATAM,phase_more_likely_1,MEANING,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,FINANCIAL,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,SECURITY,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,COMPETENCE,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,AUTONOMY,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,PHYSIOLOGICAL,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,RELATEDNESS,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,STIMULATION,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,POPULARITY,638,0,0
WHY_LATAM,LATAM,phase_more_likely_2,MEANING,638,0,0
