analysis_sample,analysis_region,phase_prefix,dimension,n_rows_sample,n_selected,prop_selected_sample
DIEGO,EUROPE,phase_implemented_reasons,FINANCIAL,1899,0,0
DIEGO,EUROPE,phase_implemented_reasons,SECURITY,1899,0,0
DIEGO,EUROPE,phase_implemented_reasons,COMPETENCE,1899,0,0
DIEGO,EUROPE,phase_implemented_reasons,AUTONOMY,1899,0,0
DIEGO,EUROPE,phase_implemented_reasons,PHYSIOLOGICAL,1899,0,0
DIEGO,EUROPE,phase_implemented_reasons,RELATEDNESS,1899,0,0
DIEGO,EUROPE,phase_implemented_reasons,STIMULATION,1899,0,0
DIEGO,EUROPE,phase_implemented_reasons,POPULARITY,1899,0,0
DIEGO,EUROPE,phase_implemented_reasons,MEANING,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,FINANCIAL,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,SECURITY,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,COMPETENCE,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,AUTONOMY,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,PHYSIOLOGICAL,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,RELATEDNESS,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,STIMULATION,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,POPULARITY,1899,0,0
DIEGO,EUROPE,phase_more_likely_1,MEANING,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,FINANCIAL,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,SECURITY,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,COMPETENCE,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,AUTONOMY,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,PHYSIOLOGICAL,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,RELATEDNESS,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,STIMULATION,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,POPULARITY,1899,0,0
DIEGO,EUROPE,phase_more_likely_2,MEANING,1899,0,0
POOLED_ALL,ALL,phase_implemented_reasons,FINANCIAL,4756,549,0.11543313708999159
POOLED_ALL,ALL,phase_implemented_reasons,MEANING,4756,299,0.06286795626576955
POOLED_ALL,ALL,phase_implemented_reasons,AUTONOMY,4756,267,0.05613961312026913
POOLED_ALL,ALL,phase_implemented_reasons,PHYSIOLOGICAL,4756,229,0.04814970563498738
POOLED_ALL,ALL,phase_implemented_reasons,SECURITY,4756,186,0.0391084945332212
POOLED_ALL,ALL,phase_implemented_reasons,COMPETENCE,4756,168,0.03532380151387721
POOLED_ALL,ALL,phase_implemented_reasons,STIMULATION,4756,89,0.018713204373423043
POOLED_ALL,ALL,phase_implemented_reasons,POPULARITY,4756,48,0.010092514718250631
POOLED_ALL,ALL,phase_implemented_reasons,RELATEDNESS,4756,46,0.009671993271656855
POOLED_ALL,ALL,phase_more_likely_1,FINANCIAL,4756,622,0.13078216989066443
POOLED_ALL,ALL,phase_more_likely_1,AUTONOMY,4756,294,0.06181665264928511
POOLED_ALL,ALL,phase_more_likely_1,MEANING,4756,293,0.06160639192598823
POOLED_ALL,ALL,phase_more_likely_1,SECURITY,4756,246,0.05172413793103448
POOLED_ALL,ALL,phase_more_likely_1,PHYSIOLOGICAL,4756,210,0.04415475189234651
POOLED_ALL,ALL,phase_more_likely_1,COMPETENCE,4756,191,0.04015979814970563
POOLED_ALL,ALL,phase_more_likely_1,STIMULATION,4756,111,0.023338940285954585
POOLED_ALL,ALL,phase_more_likely_1,POPULARITY,4756,47,0.009882253994953743
POOLED_ALL,ALL,phase_more_likely_1,RELATEDNESS,4756,46,0.009671993271656855
POOLED_ALL,ALL,phase_more_likely_2,FINANCIAL,4756,455,0.0956686291000841
POOLED_ALL,ALL,phase_more_likely_2,AUTONOMY,4756,228,0.0479394449116905
POOLED_ALL,ALL,phase_more_likely_2,MEANING,4756,219,0.0460470984020185
POOLED_ALL,ALL,phase_more_likely_2,SECURITY,4756,208,0.04373423044575273
POOLED_ALL,ALL,phase_more_likely_2,COMPETENCE,4756,163,0.03427249789739277
POOLED_ALL,ALL,phase_more_likely_2,PHYSIOLOGICAL,4756,153,0.032169890664423884
POOLED_ALL,ALL,phase_more_likely_2,STIMULATION,4756,87,0.018292682926829267
POOLED_ALL,ALL,phase_more_likely_2,RELATEDNESS,4756,55,0.011564339781328847
POOLED_ALL,ALL,phase_more_likely_2,POPULARITY,4756,26,0.0054667788057190915
RENOVISOR,EUROPE,phase_implemented_reasons,FINANCIAL,1229,549,0.4467046379170057
RENOVISOR,EUROPE,phase_implemented_reasons,MEANING,1229,299,0.24328722538649308
RENOVISOR,EUROPE,phase_implemented_reasons,AUTONOMY,1229,267,0.21724979658258747
RENOVISOR,EUROPE,phase_implemented_reasons,PHYSIOLOGICAL,1229,229,0.18633034987794955
RENOVISOR,EUROPE,phase_implemented_reasons,SECURITY,1229,186,0.15134255492270138
RENOVISOR,EUROPE,phase_implemented_reasons,COMPETENCE,1229,168,0.13669650122050447
RENOVISOR,EUROPE,phase_implemented_reasons,STIMULATION,1229,89,0.07241659886086249
RENOVISOR,EUROPE,phase_implemented_reasons,POPULARITY,1229,48,0.03905614320585842
RENOVISOR,EUROPE,phase_implemented_reasons,RELATEDNESS,1229,46,0.03742880390561432
RENOVISOR,EUROPE,phase_more_likely_1,FINANCIAL,1229,622,0.5061025223759154
RENOVISOR,EUROPE,phase_more_likely_1,AUTONOMY,1229,294,0.23921887713588283
RENOVISOR,EUROPE,phase_more_likely_1,MEANING,1229,293,0.23840520748576077
RENOVISOR,EUROPE,phase_more_likely_1,SECURITY,1229,246,0.2001627339300244
RENOVISOR,EUROPE,phase_more_likely_1,PHYSIOLOGICAL,1229,210,0.1708706265256306
RENOVISOR,EUROPE,phase_more_likely_1,COMPETENCE,1229,191,0.15541090317331163
RENOVISOR,EUROPE,phase_more_likely_1,STIMULATION,1229,111,0.09031733116354759
RENOVISOR,EUROPE,phase_more_likely_1,POPULARITY,1229,47,0.03824247355573637
RENOVISOR,EUROPE,phase_more_likely_1,RELATEDNESS,1229,46,0.03742880390561432
RENOVISOR,EUROPE,phase_more_likely_2,FINANCIAL,1229,455,0.37021969080553296
RENOVISOR,EUROPE,phase_more_likely_2,AUTONOMY,1229,228,0.1855166802278275
RENOVISOR,EUROPE,phase_more_likely_2,MEANING,1229,219,0.17819365337672904
RENOVISOR,EUROPE,phase_more_likely_2,SECURITY,1229,208,0.16924328722538648
RENOVISOR,EUROPE,phase_more_likely_2,COMPETENCE,1229,163,0.13262815296989422
RENOVISOR,EUROPE,phase_more_likely_2,PHYSIOLOGICAL,1229,153,0.12449145646867373
RENOVISOR,EUROPE,phase_more_likely_2,STIMULATION,1229,87,0.07078925956061839
RENOVISOR,EUROPE,phase_more_likely_2,RELATEDNESS,1229,55,0.044751830756712775
RENOVISOR,EUROPE,phase_more_likely_2,POPULARITY,1229,26,0.02115541090317331
WHY_EUROPE,EUROPE,phase_implemented_reasons,FINANCIAL,990,0,0
WHY_EUROPE,EUROPE,phase_implemented_reasons,SECURITY,990,0,0
WHY_EUROPE,EUROPE,phase_implemented_reasons,COMPETENCE,990,0,0
