analysis_sample,analysis_region,n_rows,n_unique_ids,n_sources,n_subsamples
POOLED_ALL,ALL,4756,4756,3,4
DIEGO,EUROPE,1899,1899,1,1
RENOVISOR,EUROPE,1229,1229,1,1
WHY_EUROPE,EUROPE,990,990,1,1
WHY_LATAM,LATAM,638,638,1,1
