analysis_sample,analysis_region,determinant,n_rows,n_missing,prop_missing,n_out_of_range
DIEGO,EUROPE,det_01_profits,1899,0,0,0
DIEGO,EUROPE,det_02_credit_score,1899,0,0,0
DIEGO,EUROPE,det_03_risk_profile,1899,0,0,0
DIEGO,EUROPE,det_04_added_value,1899,0,0,0
DIEGO,EUROPE,det_05_frugality,1899,0,0,0
DIEGO,EUROPE,det_06_climate_protection,1899,0,0,0
DIEGO,EUROPE,det_07_legal,1899,0,0,0
DIEGO,EUROPE,det_08_trust,1899,0,0,0
DIEGO,EUROPE,det_09_safety,1899,0,0,0
DIEGO,EUROPE,det_10_cost_efficiency,1899,0,0,0
DIEGO,EUROPE,det_11_knowledge,1899,0,0,0
DIEGO,EUROPE,det_12_own_competence,1899,0,0,0
DIEGO,EUROPE,det_13_technical_fit,1899,0,0,0
DIEGO,EUROPE,det_14_environmental_concerns,1899,0,0,0
DIEGO,EUROPE,det_15_self_satisfaction,1899,0,0,0
DIEGO,EUROPE,det_16_commitment,1899,0,0,0
DIEGO,EUROPE,det_17_adherence,1899,0,0,0
DIEGO,EUROPE,det_18_autonomy,1899,0,0,0
DIEGO,EUROPE,det_19_wellbeing,1899,0,0,0
DIEGO,EUROPE,det_20_coziness,1899,0,0,0
DIEGO,EUROPE,det_21_rights_and_duties,1899,0,0,0
DIEGO,EUROPE,det_22_peer_pressure,1899,0,0,0
DIEGO,EUROPE,det_23_support,1899,0,0,0
DIEGO,EUROPE,det_24_socialising,1899,0,0,0
DIEGO,EUROPE,det_25_agreement,1899,0,0,0
DIEGO,EUROPE,det_26_novelty,1899,0,0,0
DIEGO,EUROPE,det_27_fun,1899,0,0,0
DIEGO,EUROPE,det_28_recognition,1899,0,0,0
DIEGO,EUROPE,det_29_trends,1899,0,0,0
DIEGO,EUROPE,det_30_authority,1899,0,0,0
DIEGO,EUROPE,det_31_approval,1899,0,0,0
DIEGO,EUROPE,det_32_own_significance,1899,0,0,0
POOLED_ALL,ALL,det_02_credit_score,4756,345,0.07253994953742642,0
POOLED_ALL,ALL,det_04_added_value,4756,343,0.07211942809083263,0
POOLED_ALL,ALL,det_05_frugality,4756,340,0.07148864592094197,0
POOLED_ALL,ALL,det_09_safety,4756,339,0.07127838519764508,0
POOLED_ALL,ALL,det_12_own_competence,4756,339,0.07127838519764508,0
POOLED_ALL,ALL,det_07_legal,4756,336,0.07064760302775441,0
POOLED_ALL,ALL,det_17_adherence,4756,336,0.07064760302775441,0
POOLED_ALL,ALL,det_30_authority,4756,336,0.07064760302775441,0
POOLED_ALL,ALL,det_03_risk_profile,4756,335,0.07043734230445753,0
POOLED_ALL,ALL,det_23_support,4756,335,0.07043734230445753,0
POOLED_ALL,ALL,det_01_profits,4756,334,0.07022708158116064,0
POOLED_ALL,ALL,det_27_fun,4756,333,0.07001682085786375,0
POOLED_ALL,ALL,det_32_own_significance,4756,333,0.07001682085786375,0
POOLED_ALL,ALL,det_15_self_satisfaction,4756,332,0.06980656013456686,0
POOLED_ALL,ALL,det_28_recognition,4756,332,0.06980656013456686,0
POOLED_ALL,ALL,det_10_cost_efficiency,4756,331,0.06959629941126998,0
POOLED_ALL,ALL,det_13_technical_fit,4756,331,0.06959629941126998,0
POOLED_ALL,ALL,det_20_coziness,4756,331,0.06959629941126998,0
POOLED_ALL,ALL,det_24_socialising,4756,331,0.06959629941126998,0
POOLED_ALL,ALL,det_29_trends,4756,331,0.06959629941126998,0
POOLED_ALL,ALL,det_22_peer_pressure,4756,330,0.06938603868797309,0
POOLED_ALL,ALL,det_25_agreement,4756,329,0.0691757779646762,0
POOLED_ALL,ALL,det_31_approval,4756,329,0.0691757779646762,0
POOLED_ALL,ALL,det_08_trust,4756,328,0.06896551724137931,0
POOLED_ALL,ALL,det_19_wellbeing,4756,328,0.06896551724137931,0
POOLED_ALL,ALL,det_21_rights_and_duties,4756,328,0.06896551724137931,0
POOLED_ALL,ALL,det_26_novelty,4756,328,0.06896551724137931,0
POOLED_ALL,ALL,det_18_autonomy,4756,327,0.06875525651808242,0
POOLED_ALL,ALL,det_16_commitment,4756,326,0.06854499579478554,0
POOLED_ALL,ALL,det_11_knowledge,4756,318,0.06686291000841042,0
POOLED_ALL,ALL,det_06_climate_protection,4756,316,0.06644238856181665,0
POOLED_ALL,ALL,det_14_environmental_concerns,4756,316,0.06644238856181665,0
RENOVISOR,EUROPE,det_02_credit_score,1229,310,0.25223759153783565,0
RENOVISOR,EUROPE,det_05_frugality,1229,306,0.24898291293734745,0
RENOVISOR,EUROPE,det_12_own_competence,1229,305,0.2481692432872254,0
RENOVISOR,EUROPE,det_04_added_value,1229,303,0.24654190398698128,0
RENOVISOR,EUROPE,det_09_safety,1229,303,0.24654190398698128,0
RENOVISOR,EUROPE,det_23_support,1229,303,0.24654190398698128,0
RENOVISOR,EUROPE,det_03_risk_profile,1229,302,0.24572823433685922,0
RENOVISOR,EUROPE,det_17_adherence,1229,302,0.24572823433685922,0
RENOVISOR,EUROPE,det_07_legal,1229,301,0.2449145646867372,0
RENOVISOR,EUROPE,det_30_authority,1229,300,0.24410089503661514,0
RENOVISOR,EUROPE,det_01_profits,1229,299,0.24328722538649308,0
RENOVISOR,EUROPE,det_27_fun,1229,299,0.24328722538649308,0
RENOVISOR,EUROPE,det_18_autonomy,1229,298,0.24247355573637103,0
RENOVISOR,EUROPE,det_20_coziness,1229,298,0.24247355573637103,0
RENOVISOR,EUROPE,det_10_cost_efficiency,1229,297,0.24165988608624897,0
RENOVISOR,EUROPE,det_24_socialising,1229,297,0.24165988608624897,0
RENOVISOR,EUROPE,det_25_agreement,1229,297,0.24165988608624897,0
RENOVISOR,EUROPE,det_15_self_satisfaction,1229,296,0.24084621643612694,0
RENOVISOR,EUROPE,det_22_peer_pressure,1229,296,0.24084621643612694,0
RENOVISOR,EUROPE,det_29_trends,1229,296,0.24084621643612694,0
RENOVISOR,EUROPE,det_32_own_significance,1229,296,0.24084621643612694,0
RENOVISOR,EUROPE,det_19_wellbeing,1229,295,0.24003254678600489,0
RENOVISOR,EUROPE,det_28_recognition,1229,295,0.24003254678600489,0
RENOVISOR,EUROPE,det_13_technical_fit,1229,294,0.23921887713588283,0
RENOVISOR,EUROPE,det_16_commitment,1229,293,0.23840520748576077,0
RENOVISOR,EUROPE,det_21_rights_and_duties,1229,293,0.23840520748576077,0
RENOVISOR,EUROPE,det_26_novelty,1229,293,0.23840520748576077,0
RENOVISOR,EUROPE,det_08_trust,1229,292,0.23759153783563874,0
RENOVISOR,EUROPE,det_31_approval,1229,292,0.23759153783563874,0
RENOVISOR,EUROPE,det_11_knowledge,1229,285,0.23189585028478438,0
RENOVISOR,EUROPE,det_14_environmental_concerns,1229,283,0.23026851098454026,0
RENOVISOR,EUROPE,det_06_climate_protection,1229,281,0.22864117168429618,0
WHY_EUROPE,EUROPE,det_04_added_value,990,17,0.01717171717171717,0
WHY_EUROPE,EUROPE,det_07_legal,990,17,0.01717171717171717,0
WHY_EUROPE,EUROPE,det_08_trust,990,17,0.01717171717171717,0
WHY_EUROPE,EUROPE,det_13_technical_fit,990,17,0.01717171717171717,0
WHY_EUROPE,EUROPE,det_26_novelty,990,17,0.01717171717171717,0
WHY_EUROPE,EUROPE,det_31_approval,990,17,0.01717171717171717,0
WHY_EUROPE,EUROPE,det_02_credit_score,990,16,0.01616161616161616,0
WHY_EUROPE,EUROPE,det_09_safety,990,16,0.01616161616161616,0
WHY_EUROPE,EUROPE,det_12_own_competence,990,16,0.01616161616161616,0
WHY_EUROPE,EUROPE,det_16_commitment,990,16,0.01616161616161616,0
WHY_EUROPE,EUROPE,det_21_rights_and_duties,990,16,0.01616161616161616,0
WHY_EUROPE,EUROPE,det_24_socialising,990,16,0.01616161616161616,0
WHY_EUROPE,EUROPE,det_30_authority,990,16,0.01616161616161616,0
WHY_EUROPE,EUROPE,det_32_own_significance,990,16,0.01616161616161616,0
WHY_EUROPE,EUROPE,det_05_frugality,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_10_cost_efficiency,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_14_environmental_concerns,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_17_adherence,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_22_peer_pressure,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_23_support,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_25_agreement,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_27_fun,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_28_recognition,990,15,0.015151515151515152,0
WHY_EUROPE,EUROPE,det_01_profits,990,14,0.014141414141414142,0
WHY_EUROPE,EUROPE,det_03_risk_profile,990,14,0.014141414141414142,0
WHY_EUROPE,EUROPE,det_11_knowledge,990,14,0.014141414141414142,0
WHY_EUROPE,EUROPE,det_15_self_satisfaction,990,14,0.014141414141414142,0
WHY_EUROPE,EUROPE,det_19_wellbeing,990,14,0.014141414141414142,0
WHY_EUROPE,EUROPE,det_29_trends,990,14,0.014141414141414142,0
WHY_EUROPE,EUROPE,det_06_climate_protection,990,13,0.013131313131313131,0
WHY_EUROPE,EUROPE,det_18_autonomy,990,13,0.013131313131313131,0
WHY_EUROPE,EUROPE,det_20_coziness,990,13,0.013131313131313131,0
WHY_LATAM,LATAM,det_04_added_value,638,23,0.03605015673981191,0
WHY_LATAM,LATAM,det_06_climate_protection,638,22,0.034482758620689655,0
WHY_LATAM,LATAM,det_15_self_satisfaction,638,22,0.034482758620689655,0
WHY_LATAM,LATAM,det_28_recognition,638,22,0.034482758620689655,0
WHY_LATAM,LATAM,det_01_profits,638,21,0.032915360501567396,0
WHY_LATAM,LATAM,det_29_trends,638,21,0.032915360501567396,0
WHY_LATAM,LATAM,det_32_own_significance,638,21,0.032915360501567396,0
WHY_LATAM,LATAM,det_09_safety,638,20,0.03134796238244514,0
WHY_LATAM,LATAM,det_13_technical_fit,638,20,0.03134796238244514,0
WHY_LATAM,LATAM,det_20_coziness,638,20,0.03134796238244514,0
WHY_LATAM,LATAM,det_30_authority,638,20,0.03134796238244514,0
WHY_LATAM,LATAM,det_31_approval,638,20,0.03134796238244514,0
WHY_LATAM,LATAM,det_02_credit_score,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_03_risk_profile,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_05_frugality,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_08_trust,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_10_cost_efficiency,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_11_knowledge,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_17_adherence,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_19_wellbeing,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_21_rights_and_duties,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_22_peer_pressure,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_27_fun,638,19,0.029780564263322883,0
WHY_LATAM,LATAM,det_07_legal,638,18,0.02821316614420063,0
WHY_LATAM,LATAM,det_12_own_competence,638,18,0.02821316614420063,0
WHY_LATAM,LATAM,det_14_environmental_concerns,638,18,0.02821316614420063,0
WHY_LATAM,LATAM,det_24_socialising,638,18,0.02821316614420063,0
WHY_LATAM,LATAM,det_26_novelty,638,18,0.02821316614420063,0
WHY_LATAM,LATAM,det_16_commitment,638,17,0.02664576802507837,0
WHY_LATAM,LATAM,det_23_support,638,17,0.02664576802507837,0
WHY_LATAM,LATAM,det_25_agreement,638,17,0.02664576802507837,0
WHY_LATAM,LATAM,det_18_autonomy,638,16,0.025078369905956112,0
