dataset_source,source_survey,n_rows,prop_within_source
diego,Survey_September2023_cleaned,1899,1
rv,decision,902,0.7339300244100895
rv,energy_crisis,107,0.0870626525630594
rv,concerns2,100,0.08136696501220504
rv,poverty,38,0.030919446704637917
rv,concerns2;decision,16,0.013018714401952807
rv,concerns2;energy_crisis;poverty,14,0.011391375101708706
rv,concerns2;decision;poverty,12,0.009764035801464606
rv,concerns2;decision;energy_crisis;poverty,10,0.008136696501220505
rv,decision;energy_crisis,10,0.008136696501220505
rv,decision;energy_crisis;poverty,7,0.005695687550854353
rv,concerns2;energy_crisis,4,0.0032546786004882017
rv,concerns2;poverty,4,0.0032546786004882017
rv,energy_crisis;poverty,4,0.0032546786004882017
rv,decision;poverty,1,8.136696501220504e-4
why,Investment_Arquetypes_2022,990,1
