"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Uninterested",4524414,56.555175
2,"Homo.Economicus",3444771,43.0596375
3,"Influencer",192,0.0024
4,"Careful",0,0
5,"Early.Adopter",0,0
6,"Fearful",0,0
7,"Stubborn",0,0
