"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,2,7,0.000875
3,19,111,0.013875
4,81,588,0.0735
5,308,3687,0.460875
6,796,138487,17.310875
7,1624,179503,22.437875
8,2874,215690,26.96125
9,6440,283706,35.46325
10,8266,315070,39.38375
11,15762,503289,62.911125
12,17755,572899,71.612375
13,24555,712162,89.02025
14,26164,750109,93.763625
15,29491,791011,98.876375
16,30233,795124,99.3905
17,31390,799073,99.884125
18,31548,799375,99.921875
19,31801,799965,99.995625
20,31812,799976,99.997
