"archetype","best_pattern","best_pattern_idx","best_dist","best_pattern_freq"
"Early Adopter","pattern_15945",15945,2,1
"Uninterested","pattern_4422",4422,4,3
"Homo Economicus","pattern_5688",5688,3,5
"Fearful","pattern_4829",4829,2,4
"Stubborn","pattern_2872",2872,0,11
"Influencer","pattern_260",260,2,1363
"Careful","pattern_107",107,3,12
"Activist","pattern_14282",14282,2,1
