"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,1,0.000125
3,7,184,0.023
4,41,3430,0.42875
5,161,25363,3.170375
6,521,175257,21.907125
7,1234,219342,27.41775
8,2384,266914,33.36425
9,4050,342478,42.80975
10,6287,409564,51.1955
11,11776,481322,60.16525
12,14466,518165,64.770625
13,23644,658313,82.289125
14,25113,668136,83.517
15,30627,795823,99.477875
16,30814,796162,99.52025
17,31720,799761,99.970125
18,31731,799773,99.971625
19,31826,799992,99.999
20,31828,799994,99.99925
