"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",1986765,24.8345625
2,"Influencer",195416,2.4427
3,"Early Adopter",34068,0.42585
4,"Fearful",13369,0.1671125
5,"Careful",10533,0.1316625
6,"Activist",6079,0.0759875
7,"Homo Economicus",2453,0.0306625
8,"Uninterested",7,8.75e-05
