"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",7998990,99.987375
2,"Activist",7917597,98.9699625
3,"Homo.Economicus",3372288,42.1536
4,"Early.Adopter",86773,1.0846625
5,"Fearful",21249,0.2656125
6,"Uninterested",8509,0.1063625
7,"Influencer",4222,0.052775
8,"Careful",0,0
