Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
633c2b997411f342c9db61ed,5dc56fbac34fc53e4e78b820,RETURNED,2022-10-04T12:48:25.062000Z,,,,,,460,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c2ba0e01366fdd8c6cdb0,5e6800b21e7c82000b6d26f4,RETURNED,2022-10-04T12:48:32.283000Z,,,,,,213,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c2bb0c33383786e613fef,5e7e3675b706bb4e54ff6d38,RETURNED,2022-10-04T12:48:55.658000Z,,,,,,187,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c2bdce4e0653fc9ab6a88,5c7ceda01d2afc0001f4ad1d,RETURNED,2022-10-04T12:49:32.925000Z,,,,,,1268,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c2d371243580b50fe63a4,616ffbfe7b44b1236b1fc24e,RETURNED,2022-10-04T12:55:19.240000Z,,,,,,289,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c30bb8c1e2a16743ee041,60e7618f919a55767c1933d1,RETURNED,2022-10-04T13:15:15.705000Z,,,,,,477,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c327dd6a74b0fb3aa2f60,5fb00516037a4731beca05aa,RETURNED,2022-10-04T13:17:49.726000Z,,,,,,116,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c339b16ee82cea3135bd7,61163d74972326b0679cfcb1,RETURNED,2022-10-04T13:22:38.053000Z,,,,,,65,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c34a4a25d2288b80f0272,60e82765bb9a177ed3c0f192,RETURNED,2022-10-04T13:38:00.007000Z,,,,,,657,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
633c36b2a1b99383aedcbe5d,5fd0a2dace504f13a53fe91b,TIMED-OUT,2022-10-04T13:35:50.459000Z,,,,50870371.0,,572,,,44,Female,White,Ireland,Ireland,United Kingdom,English,Yes,Full-Time,Not Applicable
633c2b8b2af82df8311898df,60e93f64ec69ecdac3107555,APPROVED,2022-10-04T12:52:21.968000Z,2022-10-04T13:19:35.067000Z,2022-10-05T13:40:49.075000Z,2022-10-04T13:19:35.579000Z,1634.0,CYDMOCQ1,358,,,22,Female,White,Latvia,Latvia,Latvia,Latvian,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2b8e863cf91531189906,5cf91e3f1756e60017a30568,APPROVED,2022-10-04T12:48:14.495000Z,2022-10-04T13:29:51.624000Z,2022-10-05T13:40:49.201000Z,2022-10-04T13:29:52.121000Z,2498.0,CYDMOCQ1,1255,,,47,Female,White,Ireland,Ireland,Ireland,English,No,Part-Time,Not Applicable
633c2b924b90849566ddcec4,6151b616d2a8cac5c41d3899,APPROVED,2022-10-04T12:48:18.140000Z,2022-10-04T13:44:11.113000Z,2022-10-05T13:40:43.838000Z,2022-10-04T13:44:11.539000Z,3353.0,CYDMOCQ1,419,,,50,Male,White,Finland,Finland,Finland,Finnish,No,Full-Time,Not Applicable
633c2b958ee45c1823dcbe16,5ff1e9e97e067a6157742ad3,APPROVED,2022-10-04T12:48:21.199000Z,2022-10-04T13:09:04.767000Z,2022-10-05T13:40:49.340000Z,2022-10-04T13:09:05.137000Z,1244.0,CYDMOCQ1,593,,,38,Female,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2b995c96683c83686ab3,5dcd750828792003fc23dc39,APPROVED,2022-10-04T12:53:09.730000Z,2022-10-04T13:09:49.885000Z,2022-10-05T13:40:43.990000Z,2022-10-04T13:09:50.298000Z,1001.0,CYDMOCQ1,1072,,,36,Male,White,United Kingdom,Ireland,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2b9f540c57c551930fea,55b75944fdf99b6e0c49981b,APPROVED,2022-10-04T12:48:31.673000Z,2022-10-04T13:34:20.085000Z,2022-10-05T13:40:44.113000Z,2022-10-04T13:34:20.528000Z,2749.0,CYDMOCQ1,1001,,,54,Male,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2ba51a28120acdf172e3,5f1bf7bb9f48184274051108,APPROVED,2022-10-04T12:48:37.620000Z,2022-10-04T13:20:14.207000Z,2022-10-05T13:40:44.230000Z,2022-10-04T13:20:15.340000Z,1897.0,CYDMOCQ1,1162,,,49,Male,White,France,Ireland,France,French,No,Full-Time,Not Applicable
633c2ba6e5a119cb15cd3d65,59fc8aba087f2e0001ead671,APPROVED,2022-10-04T12:48:38.255000Z,2022-10-04T13:11:44.088000Z,2022-10-05T13:40:49.473000Z,2022-10-04T13:11:44.456000Z,1386.0,CYDMOCQ1,850,,,44,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time,Not Applicable
633c2bb12b6d77942a6bee10,5c41e9263be7b70001fcf4ab,APPROVED,2022-10-04T12:48:49.591000Z,2022-10-04T13:00:17.730000Z,2022-10-05T13:40:44.347000Z,2022-10-04T13:00:18.115000Z,689.0,CYDMOCQ1,1603,,,45,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,Not Applicable
633c2bb2e93fdd4a003b2b14,5ed8e10d54fe053fbc756c72,APPROVED,2022-10-04T12:48:50.042000Z,2022-10-04T13:21:07.755000Z,2022-10-05T13:40:44.464000Z,2022-10-04T13:21:08.135000Z,1938.0,CYDMOCQ1,280,,,30,Male,White,Latvia,Latvia,Latvia,Latvian,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2bba13cf9681d50692be,587905adc34844000174ee45,APPROVED,2022-10-04T12:48:58.121000Z,2022-10-04T13:20:59.662000Z,2022-10-05T13:40:44.580000Z,2022-10-04T13:21:00.048000Z,1922.0,CYDMOCQ1,1927,,,37,Male,White,Finland,Finland,Finland,Finnish,Yes,Full-Time,Not Applicable
633c2bc0c13e7894463a1e9d,615572f02ecfb5a9cd769014,APPROVED,2022-10-04T12:49:38.386000Z,2022-10-04T13:26:44.127000Z,2022-10-05T13:40:44.706000Z,2022-10-04T13:26:44.511000Z,2226.0,CYDMOCQ1,116,,,41,Male,White,Latvia,Latvia,Latvia,Latvian,DATA_EXPIRED,Full-Time,Not Applicable
633c2bc170d3457e8d3a1e67,5ea7405befba05108ebec3af,APPROVED,2022-10-04T12:49:05.466000Z,2022-10-04T13:11:54.134000Z,2022-10-05T13:40:44.827000Z,2022-10-04T13:11:54.677000Z,1369.0,CYDMOCQ1,150,,,30,Male,White,Finland,Finland,Finland,Finnish,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2bc563f3ebbbb00f026f,5dd6023dcaee3e5b7ba7a5bc,APPROVED,2022-10-04T12:50:51.228000Z,2022-10-04T13:33:09.088000Z,2022-10-05T13:40:44.945000Z,2022-10-04T13:33:09.565000Z,2538.0,CYDMOCQ1,568,,,27,Male,White,Sweden,Sweden,Sweden,Swedish,No,Unemployed (and job seeking),Not Applicable
633c2bc70601b5f6a4e6f947,5f44a14dc9c379248aa705a9,APPROVED,2022-10-04T12:49:11.222000Z,2022-10-04T13:14:27.536000Z,2022-10-05T13:40:49.594000Z,2022-10-04T13:14:28.011000Z,1517.0,CYDMOCQ1,670,,,22,Female,White,Latvia,Latvia,Latvia,Latvian,No,Other,Not Applicable
633c2bcbfa66985b9842d1e6,5dfc822839bcde9801aac17c,APPROVED,2022-10-04T12:49:15.060000Z,2022-10-04T13:02:17.368000Z,2022-10-05T13:40:45.064000Z,2022-10-04T13:02:17.841000Z,783.0,CYDMOCQ1,391,,,34,Male,White,Sweden,Sweden,Sweden,Swedish,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2bcec2ce8fbeb3f172ce,60a172cdec54c7f520e46481,APPROVED,2022-10-04T12:49:18.766000Z,2022-10-04T13:16:18.024000Z,2022-10-05T13:40:49.728000Z,2022-10-04T13:16:18.427000Z,1620.0,CYDMOCQ1,88,,,22,Female,White,Latvia,Latvia,Latvia,Latvian,Yes,Part-Time,Not Applicable
633c2bd2580591c908ee91fb,60adf767cce1c3fa53ed4793,APPROVED,2022-10-04T12:49:28.743000Z,2022-10-04T13:18:24.769000Z,2022-10-05T13:40:49.842000Z,2022-10-04T13:18:25.163000Z,1737.0,CYDMOCQ1,436,,,22,Female,White,Latvia,Latvia,Latvia,Russian,No,Full-Time,Not Applicable
633c2bd4a8704dce8a6c62fc,5f4fa43ff313fc07706bb0fe,APPROVED,2022-10-04T12:49:24.380000Z,2022-10-04T13:27:35.483000Z,2022-10-05T13:40:45.182000Z,2022-10-04T13:27:35.866000Z,2292.0,CYDMOCQ1,719,,,47,Male,White,Finland,Finland,Finland,Finnish,No,Part-Time,Not Applicable
633c2bd4e466df03edfe63af,5fd0c6df3988a218fdee3a13,APPROVED,2022-10-04T12:49:24.634000Z,2022-10-04T13:11:14.928000Z,2022-10-05T13:40:49.956000Z,2022-10-04T13:11:15.447000Z,1311.0,CYDMOCQ1,217,,,28,Female,White,Latvia,Latvia,Latvia,Latvian,Yes,Due to start a new job within the next month,Not Applicable
633c2bd8c00e1dfb0c41af1a,5bf6d8146b9e0e0001ed9841,APPROVED,2022-10-04T12:49:28.248000Z,2022-10-04T13:13:53.318000Z,2022-10-05T13:40:45.309000Z,2022-10-04T13:13:53.701000Z,1466.0,CYDMOCQ1,220,,,23,Male,White,Sweden,Sweden,Sweden,Swedish,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2bda580591c908ee91fd,60f94d58e0e17c55e2cd5418,APPROVED,2022-10-04T12:49:30.468000Z,2022-10-04T13:16:04.794000Z,2022-10-05T13:40:50.082000Z,2022-10-04T13:16:06.813000Z,1595.0,CYDMOCQ1,643,,,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,Not Applicable
633c2bdf3a912fa05fab6a3a,60d79860d12471e858c57b6f,APPROVED,2022-10-04T12:49:35.922000Z,2022-10-04T13:24:11.806000Z,2022-10-05T13:40:45.432000Z,2022-10-04T13:24:12.205000Z,2076.0,CYDMOCQ1,127,,,41,Male,White,Romania,Denmark,Romania,Romanian,No,Full-Time,Not Applicable
633c2be0fa76ca4a0517cad0,5c6eb56e1218960001b5e19c,APPROVED,2022-10-04T12:49:38.473000Z,2022-10-04T13:45:18.919000Z,2022-10-05T13:40:45.551000Z,2022-10-04T13:45:19.355000Z,3341.0,CYDMOCQ1,456,,,23,Male,White,Finland,Finland,Finland,Finnish,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2be6a9b19fb39a8b1554,5f0ef1582a709a00093a8b86,APPROVED,2022-10-04T12:49:42.896000Z,2022-10-04T13:03:59.885000Z,2022-10-05T13:40:45.896000Z,2022-10-04T13:04:00.290000Z,857.0,CYDMOCQ1,481,,,29,Male,Asian,India,Ireland,India,Hindi,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2bec03087f3c63dcbe57,5b2e7ece975e260001e921b7,APPROVED,2022-10-04T12:49:48.573000Z,2022-10-04T13:04:42.815000Z,2022-10-05T13:40:50.198000Z,2022-10-04T13:04:43.143000Z,895.0,CYDMOCQ1,337,,,24,Female,White,Latvia,Latvia,Latvia,Latvian,Yes,Unemployed (and job seeking),Not Applicable
633c2bf3b6c5646e6bfe63ce,5ea8b5e215996a31e80e5fac,APPROVED,2022-10-04T12:49:55.311000Z,2022-10-04T13:18:42.051000Z,2022-10-05T13:40:46.013000Z,2022-10-04T13:18:42.529000Z,1727.0,CYDMOCQ1,89,,,33,Male,White,Ireland,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
