Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63d3b70e44967d1e84dd58b8,5e9546ebbc08e21354f19f4d,APPROVED,2023-01-27T11:35:42.242000Z,2023-01-27T11:57:19.847000Z,2023-01-30T15:50:56.756000Z,2023-01-27T11:57:20.191871Z,1298.0,CYDMOCQ1,274,27,Male,Mixed,Chile,Chile,Chile,Spanish,No,Full-Time,
63d3b7280eadff6e226b847f,5eb0cb5afb9e2418da928edb,APPROVED,2023-01-27T11:38:30.616000Z,2023-01-27T12:02:03.162000Z,2023-01-30T15:50:56.932000Z,2023-01-27T12:02:04.130255Z,1413.0,CYDMOCQ1,428,22,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking),
63d3b732043898fb0607a73d,5f4928d947b9fe312e9980ad,APPROVED,2023-01-27T11:36:29.393000Z,2023-01-27T12:31:09.842000Z,2023-01-30T15:50:57.099000Z,2023-01-27T12:31:10.227935Z,3281.0,CYDMOCQ1,286,28,Male,Mixed,Chile,Chile,Chile,Spanish,Yes,Part-Time,
63d3b73eab8328e2a06df9d0,600916bb92179b5ecc406460,APPROVED,2023-01-27T11:36:30.727000Z,2023-01-27T12:01:49.175000Z,2023-01-30T15:50:57.264000Z,2023-01-27T12:01:49.626322Z,1519.0,CYDMOCQ1,204,23,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time,
63d3b75d7c087d63ba2f0900,63bb4a3a48b487f62234debe,APPROVED,2023-01-27T11:37:01.489000Z,2023-01-27T11:49:01.699000Z,2023-01-30T15:50:57.432000Z,2023-01-27T11:49:02.039064Z,721.0,92082dec-7867-43b8-8c6e-a25996cf6607,10,51,Male,White,United States,Mexico,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63d3b75fa998bf0f2ad12f2c,612742541c10c193688cea34,APPROVED,2023-01-27T11:37:03.850000Z,2023-01-27T11:58:25.319000Z,2023-01-30T15:50:57.598000Z,2023-01-27T11:58:25.753152Z,1282.0,CYDMOCQ1,256,26,Male,White,Chile,Chile,Chile,Spanish,Yes,Unemployed (and job seeking),
63d3b778fce06cb9a0178eba,5ee95917bdb5522f9ee95e4f,APPROVED,2023-01-27T11:37:27.991000Z,2023-01-27T12:25:52.110000Z,2023-01-30T15:50:57.772000Z,2023-01-27T12:25:52.585316Z,2905.0,CYDMOCQ1,215,32,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time,
63d3b77981df4db1db806fe1,5d98a94bea7ad902c4ed0cd2,APPROVED,2023-01-27T11:38:29.655000Z,2023-01-27T12:13:03.250000Z,2023-01-30T15:50:57.945000Z,2023-01-27T12:13:03.567412Z,2074.0,CYDMOCQ1,370,25,Male,White,Mexico,Mexico,Mexico,Spanish,No,Other,
63d3b785db8fcea0aec03462,5ea6da5ad773ee03ba8cefc5,APPROVED,2023-01-27T11:37:41.337000Z,2023-01-27T11:51:47.629000Z,2023-01-30T15:50:58.116000Z,2023-01-27T11:51:48.791984Z,847.0,CYDMOCQ1,497,32,Male,White,Chile,Chile,Chile,Spanish,Yes,Full-Time,
63d3b78c13c1e809f80506f0,5ed9fe560adb8b5a860d8d80,APPROVED,2023-01-27T11:37:48.511000Z,2023-01-27T12:16:17.785000Z,2023-01-30T15:51:57.494000Z,2023-01-27T12:16:18.262381Z,2310.0,CYDMOCQ1,400,22,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Other,
