Archetype,FINANCIAL,SECURITY,COMPETENCE,AUTONOMY,PHYSICALNESS,RELATEDNESS,STIMULATION,POPULARITY,MEANING
Early.Adopter,0,0,0.4,0.5,0,0,0.333333333,0.5,0
Uninterested,0,0.25,0.2,0,1,0.2,0,0.5,0
Homo.Economicus,0.4,0.75,0.6,0.25,0,0,0,0,0
Fearful,0.4,0.75,0.6,0,0.5,0,0,0,0
Stubborn,0,0,0.2,0.5,0,0,0,0,0
Influencer,0,0,0.2,0,0,0.4,0.333333333,0,0.5
Careful,0.4,0.75,0.8,0.5,0.5,0,0,0,0
Activist,0,0.25,0.4,0.75,0,0,0,0,0
