"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",3338536,41.7317
2,"Stubborn",64222,0.802775
3,"Fearful",108,0.00135
4,"Cluster8",0,0
5,"Early.Adopter",0,0
6,"Homo.Economicus",0,0
7,"Influencer",0,0
8,"Uninterested",0,0
