consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_20_coziness,48,0.48,0.1729743938510452
1,det_07_legal,44,0.44,0.16875301897890718
1,det_17_adherence,44,0.44,0.16514664259084608
1,det_01_profits,44,0.44,0.14850472432396153
1,det_15_self_satisfaction,44,0.44,0.14380921970918306
1,det_30_authority,41,0.41,0.1532746586288912
1,det_05_frugality,37,0.37,0.13783478430730248
1,det_27_fun,34,0.34,0.11901866065448338
2,det_31_approval,54,0.54,0.19201069945961877
2,det_11_knowledge,52,0.52,0.18155360255758335
2,det_04_added_value,48,0.48,0.16344685875332715
2,det_08_trust,44,0.44,0.17513388326410423
2,det_12_own_competence,43,0.43,0.15326924719534918
2,det_28_recognition,41,0.41,0.15741414130574738
2,det_29_trends,36,0.36,0.14311213846174864
2,det_07_legal,32,0.32,0.12617441133760818
3,det_19_wellbeing,52,0.52,0.16007954491180926
3,det_02_credit_score,43,0.43,0.14369944450524574
3,det_06_climate_protection,42,0.42,0.14985915907287617
3,det_05_frugality,42,0.42,0.14357268599587103
3,det_28_recognition,41,0.41,0.15484368214988212
3,det_15_self_satisfaction,39,0.39,0.13950214684653287
3,det_22_peer_pressure,37,0.37,0.12815370462714729
3,det_08_trust,31,0.31,0.13518708359651638
4,det_21_rights_and_duties,56,0.56,0.189658951643983
4,det_03_risk_profile,49,0.49,0.16450627956369027
4,det_10_cost_efficiency,48,0.48,0.17074499688682795
4,det_24_socialising,39,0.39,0.13869042892414182
4,det_07_legal,37,0.37,0.1373731609233206
4,det_22_peer_pressure,37,0.37,0.13281704778294717
4,det_29_trends,35,0.35,0.12510477549988802
4,det_12_own_competence,33,0.33,0.1410091899675172
5,det_14_environmental_concerns,53,0.53,0.18385786613577984
5,det_13_technical_fit,48,0.48,0.16173938677073676
5,det_10_cost_efficiency,45,0.45,0.15920115664383158
5,det_09_safety,44,0.44,0.1579102540601872
5,det_16_commitment,41,0.41,0.15005502701352066
5,det_25_agreement,39,0.39,0.1649401180106981
5,det_02_credit_score,37,0.37,0.15203619871147292
5,det_06_climate_protection,34,0.34,0.12969562267281629
6,det_18_autonomy,52,0.52,0.168675181124542
6,det_26_novelty,51,0.51,0.17530839937396075
6,det_27_fun,44,0.44,0.1653378900680009
6,det_30_authority,44,0.44,0.159038881834782
6,det_29_trends,39,0.39,0.14906686902073793
6,det_20_coziness,35,0.35,0.1346451738882516
6,det_03_risk_profile,35,0.35,0.12480922922735903
6,det_08_trust,33,0.33,0.12571138146897884
