bootstrap_id,consensus_factor,reference_factor,original_factor,alignment_similarity_pct
31,5,MR5,MR3,37.5
31,6,MR6,MR5,50
32,1,MR1,MR6,37.5
32,2,MR2,MR2,50
32,3,MR3,MR3,50
32,4,MR4,MR4,50
32,5,MR5,MR5,50
32,6,MR6,MR1,37.5
33,1,MR1,MR2,50
33,2,MR2,MR5,37.5
33,3,MR3,MR3,37.5
33,4,MR4,MR4,50
33,5,MR5,MR6,37.5
33,6,MR6,MR1,25
34,1,MR1,MR6,25
34,2,MR2,MR4,37.5
34,3,MR3,MR1,50
34,4,MR4,MR3,25
34,5,MR5,MR2,50
34,6,MR6,MR5,75
35,1,MR1,MR1,37.5
35,2,MR2,MR4,37.5
35,3,MR3,MR6,25
35,4,MR4,MR3,37.5
35,5,MR5,MR2,37.5
35,6,MR6,MR5,50
36,1,MR1,MR4,37.5
36,2,MR2,MR5,37.5
36,3,MR3,MR2,37.5
36,4,MR4,MR3,62.5
36,5,MR5,MR6,25
36,6,MR6,MR1,37.5
37,1,MR1,MR3,50
37,2,MR2,MR1,25
37,3,MR3,MR4,37.5
37,4,MR4,MR2,37.5
37,5,MR5,MR5,37.5
37,6,MR6,MR6,37.5
38,1,MR1,MR2,37.5
38,2,MR2,MR4,37.5
38,3,MR3,MR3,37.5
38,4,MR4,MR1,37.5
38,5,MR5,MR5,50
38,6,MR6,MR6,50
39,1,MR1,MR1,37.5
39,2,MR2,MR4,37.5
39,3,MR3,MR6,50
39,4,MR4,MR5,50
39,5,MR5,MR3,37.5
39,6,MR6,MR2,37.5
40,1,MR1,MR6,50
40,2,MR2,MR2,62.5
40,3,MR3,MR5,62.5
40,4,MR4,MR3,12.5
40,5,MR5,MR4,62.5
40,6,MR6,MR1,37.5
41,1,MR1,MR6,37.5
41,2,MR2,MR2,62.5
41,3,MR3,MR5,25
41,4,MR4,MR3,37.5
41,5,MR5,MR4,37.5
41,6,MR6,MR1,37.5
42,1,MR1,MR3,12.5
42,2,MR2,MR1,50
42,3,MR3,MR5,37.5
42,4,MR4,MR2,50
42,5,MR5,MR4,37.5
42,6,MR6,MR6,62.5
43,1,MR1,MR3,37.5
43,2,MR2,MR5,25
43,3,MR3,MR1,37.5
43,4,MR4,MR2,50
43,5,MR5,MR4,62.5
43,6,MR6,MR6,37.5
44,1,MR1,MR3,37.5
44,2,MR2,MR2,50
44,3,MR3,MR1,50
44,4,MR4,MR4,37.5
44,5,MR5,MR6,50
44,6,MR6,MR5,37.5
45,1,MR1,MR3,25
45,2,MR2,MR5,62.5
45,3,MR3,MR2,37.5
45,4,MR4,MR1,37.5
45,5,MR5,MR4,50
45,6,MR6,MR6,37.5
46,1,MR1,MR1,50
46,2,MR2,MR4,25
46,3,MR3,MR2,50
46,4,MR4,MR6,37.5
46,5,MR5,MR3,37.5
46,6,MR6,MR5,50
47,1,MR1,MR5,37.5
47,2,MR2,MR3,37.5
47,3,MR3,MR2,25
47,4,MR4,MR6,37.5
47,5,MR5,MR4,37.5
47,6,MR6,MR1,50
48,1,MR1,MR6,37.5
48,2,MR2,MR1,37.5
48,3,MR3,MR2,37.5
48,4,MR4,MR3,37.5
48,5,MR5,MR5,50
48,6,MR6,MR4,50
49,1,MR1,MR2,50
49,2,MR2,MR6,37.5
49,3,MR3,MR4,12.5
49,4,MR4,MR1,37.5
49,5,MR5,MR5,50
49,6,MR6,MR3,37.5
50,1,MR1,MR5,37.5
50,2,MR2,MR2,37.5
50,3,MR3,MR1,50
50,4,MR4,MR4,25
50,5,MR5,MR3,37.5
50,6,MR6,MR6,50
51,1,MR1,MR1,50
51,2,MR2,MR3,37.5
51,3,MR3,MR4,25
51,4,MR4,MR5,50
51,5,MR5,MR6,37.5
51,6,MR6,MR2,37.5
52,1,MR1,MR1,37.5
52,2,MR2,MR3,37.5
52,3,MR3,MR4,37.5
52,4,MR4,MR6,62.5
52,5,MR5,MR2,50
52,6,MR6,MR5,37.5
53,1,MR1,MR4,50
53,2,MR2,MR2,50
53,3,MR3,MR3,37.5
53,4,MR4,MR1,50
53,5,MR5,MR5,50
53,6,MR6,MR6,50
54,1,MR1,MR4,37.5
54,2,MR2,MR3,50
54,3,MR3,MR1,50
54,4,MR4,MR5,37.5
54,5,MR5,MR6,50
54,6,MR6,MR2,37.5
55,1,MR1,MR6,37.5
55,2,MR2,MR4,37.5
55,3,MR3,MR3,50
55,4,MR4,MR2,37.5
55,5,MR5,MR1,50
55,6,MR6,MR5,50
56,1,MR1,MR4,50
56,2,MR2,MR5,37.5
56,3,MR3,MR1,37.5
56,4,MR4,MR2,50
56,5,MR5,MR3,37.5
56,6,MR6,MR6,50
57,1,MR1,MR1,50
57,2,MR2,MR6,50
57,3,MR3,MR3,25
57,4,MR4,MR2,37.5
57,5,MR5,MR4,75
57,6,MR6,MR5,37.5
58,1,MR1,MR3,50
58,2,MR2,MR6,62.5
58,3,MR3,MR5,37.5
58,4,MR4,MR1,37.5
58,5,MR5,MR4,50
58,6,MR6,MR2,25
59,1,MR1,MR6,62.5
59,2,MR2,MR2,50
59,3,MR3,MR4,25
59,4,MR4,MR1,37.5
59,5,MR5,MR3,62.5
59,6,MR6,MR5,25
60,1,MR1,MR4,37.5
60,2,MR2,MR6,50
60,3,MR3,MR5,37.5
60,4,MR4,MR1,62.5
60,5,MR5,MR2,37.5
60,6,MR6,MR3,37.5
61,1,MR1,MR1,62.5
61,2,MR2,MR3,25
61,3,MR3,MR2,75
61,4,MR4,MR6,50
61,5,MR5,MR4,37.5
61,6,MR6,MR5,37.5
62,1,MR1,MR3,37.5
62,2,MR2,MR5,37.5
62,3,MR3,MR4,50
62,4,MR4,MR1,37.5
62,5,MR5,MR6,37.5
62,6,MR6,MR2,62.5
63,1,MR1,MR5,50
63,2,MR2,MR4,37.5
63,3,MR3,MR3,62.5
63,4,MR4,MR6,37.5
63,5,MR5,MR1,25
63,6,MR6,MR2,25
64,1,MR1,MR6,50
64,2,MR2,MR4,37.5
64,3,MR3,MR1,37.5
64,4,MR4,MR2,37.5
64,5,MR5,MR5,25
64,6,MR6,MR3,37.5
65,1,MR1,MR6,50
65,2,MR2,MR3,37.5
65,3,MR3,MR1,25
65,4,MR4,MR5,37.5
65,5,MR5,MR2,50
65,6,MR6,MR4,50
66,1,MR1,MR3,50
66,2,MR2,MR1,37.5
66,3,MR3,MR5,50
66,4,MR4,MR2,37.5
66,5,MR5,MR4,37.5
66,6,MR6,MR6,50
67,1,MR1,MR3,37.5
67,2,MR2,MR1,37.5
67,3,MR3,MR4,25
67,4,MR4,MR6,50
67,5,MR5,MR2,37.5
67,6,MR6,MR5,37.5
68,1,MR1,MR6,50
68,2,MR2,MR2,25
68,3,MR3,MR4,37.5
68,4,MR4,MR5,37.5
68,5,MR5,MR3,37.5
68,6,MR6,MR1,37.5
69,1,MR1,MR2,37.5
69,2,MR2,MR1,50
69,3,MR3,MR5,25
69,4,MR4,MR6,37.5
69,5,MR5,MR4,37.5
69,6,MR6,MR3,25
70,1,MR1,MR6,50
70,2,MR2,MR5,50
70,3,MR3,MR4,25
70,4,MR4,MR2,37.5
70,5,MR5,MR1,75
70,6,MR6,MR3,62.5
71,1,MR1,MR5,62.5
71,2,MR2,MR4,37.5
71,3,MR3,MR1,25
71,4,MR4,MR3,37.5
71,5,MR5,MR2,50
71,6,MR6,MR6,50
72,1,MR1,MR2,37.5
72,2,MR2,MR6,62.5
72,3,MR3,MR3,25
72,4,MR4,MR5,37.5
72,5,MR5,MR4,50
72,6,MR6,MR1,37.5
73,1,MR1,MR6,50
73,2,MR2,MR4,25
73,3,MR3,MR2,50
73,4,MR4,MR3,37.5
73,5,MR5,MR1,37.5
73,6,MR6,MR5,37.5
74,1,MR1,MR4,25
74,2,MR2,MR3,50
74,3,MR3,MR5,62.5
74,4,MR4,MR1,50
74,5,MR5,MR2,37.5
74,6,MR6,MR6,25
75,1,MR1,MR4,62.5
75,2,MR2,MR3,37.5
75,3,MR3,MR5,25
75,4,MR4,MR6,50
75,5,MR5,MR1,37.5
75,6,MR6,MR2,50
76,1,MR1,MR3,37.5
76,2,MR2,MR2,50
76,3,MR3,MR4,37.5
76,4,MR4,MR1,37.5
76,5,MR5,MR6,37.5
76,6,MR6,MR5,37.5
77,1,MR1,MR6,50
77,2,MR2,MR4,50
77,3,MR3,MR1,37.5
77,4,MR4,MR2,37.5
77,5,MR5,MR3,50
77,6,MR6,MR5,37.5
78,1,MR1,MR6,37.5
78,2,MR2,MR5,50
78,3,MR3,MR1,25
78,4,MR4,MR4,50
78,5,MR5,MR2,37.5
78,6,MR6,MR3,37.5
79,1,MR1,MR4,37.5
79,2,MR2,MR2,25
79,3,MR3,MR1,62.5
79,4,MR4,MR5,37.5
79,5,MR5,MR6,37.5
79,6,MR6,MR3,37.5
80,1,MR1,MR6,50
80,2,MR2,MR3,37.5
80,3,MR3,MR4,37.5
80,4,MR4,MR2,37.5
80,5,MR5,MR5,37.5
80,6,MR6,MR1,25
81,1,MR1,MR6,37.5
81,2,MR2,MR3,50
81,3,MR3,MR5,62.5
81,4,MR4,MR2,50
81,5,MR5,MR1,25
81,6,MR6,MR4,50
82,1,MR1,MR4,25
82,2,MR2,MR5,50
82,3,MR3,MR3,25
82,4,MR4,MR6,37.5
82,5,MR5,MR2,50
82,6,MR6,MR1,50
83,1,MR1,MR1,37.5
83,2,MR2,MR3,37.5
83,3,MR3,MR2,50
83,4,MR4,MR5,50
83,5,MR5,MR4,37.5
83,6,MR6,MR6,50
84,1,MR1,MR1,37.5
84,2,MR2,MR3,37.5
84,3,MR3,MR5,50
84,4,MR4,MR6,37.5
84,5,MR5,MR4,25
84,6,MR6,MR2,62.5
85,1,MR1,MR6,37.5
85,2,MR2,MR5,37.5
85,3,MR3,MR4,25
85,4,MR4,MR3,37.5
85,5,MR5,MR1,37.5
85,6,MR6,MR2,37.5
86,1,MR1,MR4,37.5
86,2,MR2,MR3,50
86,3,MR3,MR1,25
86,4,MR4,MR5,50
86,5,MR5,MR2,50
86,6,MR6,MR6,37.5
87,1,MR1,MR4,50
87,2,MR2,MR6,62.5
87,3,MR3,MR1,37.5
87,4,MR4,MR3,37.5
87,5,MR5,MR2,37.5
