"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Careful",100,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS",5
"cluster_2","Influencer",44.4444444444444,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS; RELATEDNESS; STIMULATION; POPULARITY; MEANING",9
"cluster_3","Homo.Economicus",100,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY",4
"cluster_4","Uninterested",57.1428571428571,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS; RELATEDNESS",6
"cluster_5","Early.Adopter",50,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS; RELATEDNESS; STIMULATION; POPULARITY",8
"cluster_6","Stubborn",66.6666666666667,"FINANCIAL; COMPETENCE; AUTONOMY",3
"cluster_7","Fearful",60,"FINANCIAL; COMPETENCE; AUTONOMY; PHYSICALNESS",4
"cluster_8","Activist",50,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS; STIMULATION",6
