consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_23_support,96,0.96,0.3577219361407939
1,det_04_added_value,95,0.95,0.5139685800311035
1,det_06_climate_protection,92,0.92,0.6984837134859804
1,det_14_environmental_concerns,92,0.92,0.6467879857225073
1,det_32_own_significance,91,0.91,0.30089097249953833
1,det_26_novelty,80,0.8,0.18896111845379218
1,det_13_technical_fit,47,0.47,0.14979930152331564
1,det_16_commitment,46,0.46,0.13910077659609074
2,det_21_rights_and_duties,100,1,0.6890639194594003
2,det_07_legal,100,1,0.6801303229704627
2,det_03_risk_profile,88,0.88,0.356749843231324
2,det_23_support,84,0.84,0.3353457656745346
2,det_25_agreement,75,0.75,0.35395707407465454
2,det_11_knowledge,68,0.68,0.3023977549959033
2,det_17_adherence,67,0.67,0.30885002447010046
2,det_09_safety,64,0.64,0.29968480642776285
3,det_22_peer_pressure,69,0.69,0.3316346162777451
3,det_25_agreement,63,0.63,0.3607635397698846
3,det_29_trends,51,0.51,0.19444651403782676
3,det_04_added_value,47,0.47,0.23736895888967735
3,det_23_support,47,0.47,0.17320694112424434
3,det_30_authority,35,0.35,0.14419045741750972
3,det_18_autonomy,34,0.34,0.14395312691926063
3,det_27_fun,34,0.34,0.14322523276813182
4,det_10_cost_efficiency,100,1,0.5329546347926103
4,det_01_profits,98,0.98,0.5463587201431034
4,det_13_technical_fit,98,0.98,0.5106657900402249
4,det_05_frugality,92,0.92,0.4238755371333486
4,det_03_risk_profile,85,0.85,0.33878116755223353
4,det_18_autonomy,82,0.82,0.352331375284423
4,det_15_self_satisfaction,62,0.62,0.3203654873184664
4,det_02_credit_score,60,0.6,0.2872570113679757
5,det_19_wellbeing,99,0.99,0.7305657782767186
5,det_20_coziness,99,0.99,0.6997359937119226
5,det_09_safety,99,0.99,0.5042278858192568
5,det_18_autonomy,94,0.94,0.3517884406551818
5,det_15_self_satisfaction,93,0.93,0.351513440250945
5,det_27_fun,88,0.88,0.3271768047094829
5,det_12_own_competence,86,0.86,0.3225470408519932
5,det_32_own_significance,84,0.84,0.324335184337684
6,det_31_approval,100,1,0.7649875646578516
6,det_28_recognition,100,1,0.7452589081172091
6,det_24_socialising,100,1,0.6713123265113957
6,det_30_authority,100,1,0.6514152348345003
6,det_29_trends,99,0.99,0.44235355104277263
6,det_26_novelty,94,0.94,0.3764038528354664
6,det_27_fun,92,0.92,0.3606824062292042
6,det_22_peer_pressure,87,0.87,0.40379086309555623
